Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
813,ALTA MURA,ROAD,,ALTA MURA ROAD,631D3,PRIVATE STREET NAMES
9142,ARVIA,ST,,ARVIA STREET,594H4,PUBLIC STREET NAMES
9249,ANOKA,PL,,ANOKA PLACE,630J4,PUBLIC STREET NAMES
1263,AVENUE 56,,,AVENUE 56,565C7,PUBLIC STREET NAMES
9410,ALISO,ST,,ALISO STREET,634G3,PUBLIC STREET NAMES
1270,AVENUE 49,,,AVENUE 49,595A1,PUBLIC STREET NAMES
1296,AVENUE 23,,,AVENUE 23,594J7,PUBLIC STREET NAMES
9184,ARIEL,AVE,,ARIEL AVENUE,530H4,PUBLIC STREET NAMES
9450,ALBERTINE,ST,,ALBERTINE STREET,635B7,PUBLIC STREET NAMES
9322,AMAPOLA,LANE,,AMAPOLA LANE,592B7,PUBLIC STREET NAMES
9364,ALTA,ST,,ALTA STREET,635B1,PUBLIC STREET NAMES
9414,ALHAMA,DR,,ALHAMA DRIVE,560B3,PUBLIC STREET NAMES
9462,ALANDELE,AVE,,ALANDELE AVENUE,633B3,PUBLIC STREET NAMES
9239,APEX,AVE,,APEX AVENUE,594D5,PUBLIC STREET NAMES
802,ANTWERP,ST,,ANTWERP STREET,704F5,PRIVATE STREET NAMES
9057,AYR,ST,,AYR STREET,594E4,PUBLIC STREET NAMES
9524,ACADEMIA,DR,,ACADEMIA DRIVE,561E6,PUBLIC STREET NAMES
9529,ABINGTON,DR,,ABINGTON DRIVE,592C1,PUBLIC STREET NAMES
9439,ALDAMA,TER,,ALDAMA TERRACE,595B2,PUBLIC STREET NAMES
9104,ATWOOD,PL,,ATWOOD PLACE,635C3,PUBLIC STREET NAMES
9185,ARGYLE,AVE,,ARGYLE AVENUE,593F3,PUBLIC STREET NAMES
9533,ABBOTT,PL,,ABBOTT PLACE,595B2,PUBLIC STREET NAMES
9115,ATHENS,BLVD,,ATHENS BOULEVARD,734B1,PUBLIC STREET NAMES
9449,ALBION,ST,,ALBION STREET,634J1,PUBLIC STREET NAMES
9418,ALGODON,CT,,ALGODON COURT,593A2,PUBLIC STREET NAMES
9181,ARIZONA,AVE,,ARIZONA AVENUE,672G7,PUBLIC STREET NAMES
9488,ADOBE,ST,,ADOBE STREET,634G2,PUBLIC STREET NAMES
9520,ACALA,AVE,,ACALA AVENUE,502A1,PUBLIC STREET NAMES
9425,ALEXANDRIA,PL,,ALEXANDRIA PLACE,593J7,PUBLIC STREET NAMES
9298,AMORET,DR,,AMORET DRIVE,504A5,PUBLIC STREET NAMES
814,ALTA MESA,DR,,ALTA MESA DRIVE,562F6,PRIVATE STREET NAMES
9452,ALBERTA,DR,,ALBERTA DRIVE,672E6,PUBLIC STREET NAMES
9308,AMETHYST,CT,,AMETHYST COURT,595C7,PUBLIC STREET NAMES
9093,AURORA,ST,,AURORA STREET,634J1,PUBLIC STREET NAMES
9860,ABBEY,ROAD,,ABBEY ROAD,531A7,PUBLIC STREET NAMES
