Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10345,BAYVIEW,LANE,,BAYVIEW LANE,794B4,PRIVATE STREET NAMES
8507,BROADMOOR,ST,,BROADMOOR STREET,501H7,PUBLIC STREET NAMES
8736,BIMINI,PL,,BIMINI PLACE,634A1,PUBLIC STREET NAMES
8502,BROADWAY,CT,,BROADWAY COURT,671H5,PUBLIC STREET NAMES
8411,BURNLEY,PL,,BURNLEY PLACE,592C1,PUBLIC STREET NAMES
8491,BRONSON,AVE,,BRONSON AVENUE,593G3,PUBLIC STREET NAMES
8854,BELLEVUE,AVE,,BELLEVUE AVENUE,594B7,PUBLIC STREET NAMES
785,BARRACUDA,ST,,BARRACUDA STREET,824E5,PRIVATE STREET NAMES
8570,BRASILIA,DR,,BRASILIA DRIVE,500J1,PUBLIC STREET NAMES
8538,BRIARWOOD,DR,,BRIARWOOD DRIVE,592A2,PUBLIC STREET NAMES
8653,BOLIVAR,ROAD,,BOLIVAR ROAD,560A5,PUBLIC STREET NAMES
8728,BIRKDALE,ST,,BIRKDALE STREET,594G5,PUBLIC STREET NAMES
10415,BLUFF CREEK,DR,,BLUFF CREEK DRIVE,672G6,PUBLIC STREET NAMES
8970,BARNABY,ROAD,,BARNABY ROAD,591J7,PUBLIC STREET NAMES
8408,BURR,ST,,BURR STREET,595E4,PUBLIC STREET NAMES
8533,BRIDLE,TR,,BRIDLE TRAIL,630H5,PUBLIC STREET NAMES
8457,BRUSSELS,AVE,,BRUSSELS AVENUE,502H1,PUBLIC STREET NAMES
8593,BRADBURY,ROAD,,BRADBURY ROAD,632E6,PUBLIC STREET NAMES
8769,BEVERLY,PL,,BEVERLY PLACE,592D4,PUBLIC STREET NAMES
8986,BARBOUR,CT,,BARBOUR COURT,824B7,PUBLIC STREET NAMES
8440,BUCKLER,AVE,,BUCKLER AVENUE,673C6,PUBLIC STREET NAMES
8956,BARRINGTON,PL,,BARRINGTON PLACE,631G2,PUBLIC STREET NAMES
8475,BROOKS,AVE,,BROOKS AVENUE,671J4,PUBLIC STREET NAMES
8610,BOVEY,AVE,,BOVEY AVENUE,530F4,PUBLIC STREET NAMES
8420,BURGUNDY,ROAD,,BURGUNDY ROAD,559H4,PUBLIC STREET NAMES
8409,BURNSIDE,AVE,,BURNSIDE AVENUE,633C2,PUBLIC STREET NAMES
8602,BOWMORE,AVE,,BOWMORE AVENUE,480G6,PUBLIC STREET NAMES
8512,BROAD,AVE,,BROAD AVENUE,794E4,PUBLIC STREET NAMES
8648,BOMBAY,AVE,,BOMBAY AVENUE,794E3,PUBLIC STREET NAMES
10964,BUZZ,CT,,BUZZ COURT,594D3,LIMITED ACCESS AREA NAMES
8640,BOND,ST,,BOND STREET,634C5,PUBLIC STREET NAMES
8894,BECKFORD,AVE,,BECKFORD AVENUE,500G1,PUBLIC STREET NAMES
8946,BARTO,DR,,BARTO DRIVE,481C4,PUBLIC STREET NAMES
777,BENEDICT,ST,,BENEDICT STREET,NA,PRIVATE STREET NAMES
8480,BROOKLAKE,ST,,BROOKLAKE STREET,672A3,PUBLIC STREET NAMES
8770,BEVERLY,PL,,BEVERLY PLACE,632J1,PUBLIC STREET NAMES
8783,BERWYN,LANE,,BERWYN LANE,NA,PUBLIC STREET NAMES
772,BERKELEY,SQ,,BERKELEY SQUARE,NA,PRIVATE STREET NAMES
10516,BELLANDO,CT,,BELLANDO COURT,481A6,PRIVATE STREET NAMES
