Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
8199,CARMONA,AVE,,CARMONA AVENUE,633C4,PUBLIC STREET NAMES
8295,CAMPBELL,DR,,CAMPBELL DRIVE,672E5,PUBLIC STREET NAMES
735,CALLE DEL JONELA,,,CALLE DEL JONELA,630E1,PRIVATE STREET NAMES
8063,CERVERA,AVE,,CERVERA AVENUE,595A5,PUBLIC STREET NAMES
8054,CHALMERS,DR,,CHALMERS DRIVE,632J3,PUBLIC STREET NAMES
7683,COURT,ST,,COURT STREET,634F3,PUBLIC STREET NAMES
7567,CURSON,AVE,EAST,CURSON AVENUE EAST,632C2,PRIVATE STREET NAMES
7595,CROWNRIDGE,PL,,CROWNRIDGE PLACE,561G6,PUBLIC STREET NAMES
7597,CROWN HILL,AVE,,CROWN HILL AVENUE,634D2,PUBLIC STREET NAMES
7656,CRANFORD,AVE,,CRANFORD AVENUE,502E7,PUBLIC STREET NAMES
7592,CRUCES,ST,,CRUCES STREET,794G4,PUBLIC STREET NAMES
7918,CLARENCE,ST,,CLARENCE STREET,634J5,PUBLIC STREET NAMES
7931,CIRCLE DIAMOND,ROAD,,CIRCLE DIAMOND ROAD,481F2,PUBLIC STREET NAMES
10183,CALLE DEL CIELO,,,CALLE DEL CIELO,630H1,PRIVATE STREET NAMES
8051,CHAMBERLAIN,ST,,CHAMBERLAIN STREET,502A2,PUBLIC STREET NAMES
10368,CELEDON,CK,,CELEDON CREEK,702D1,PUBLIC STREET NAMES
7694,COTTAGE,PL,,COTTAGE PLACE,634D5,PUBLIC STREET NAMES
10040,CALLE ARBOLADA,,,CALLE ARBOLADA,630G1,PRIVATE STREET NAMES
7946,CHIVERS,AVE,,CHIVERS AVENUE,481H2,PUBLIC STREET NAMES
7731,CORDELL,DR,,CORDELL DRIVE,592G5,PUBLIC STREET NAMES
8298,CAMINO REAL,,,CAMINO REAL,595A4,PUBLIC STREET NAMES
7773,COMSTOCK,AVE,,COMSTOCK AVENUE,632B1,PUBLIC STREET NAMES
8268,CANTATA,DR,,CANTATA DRIVE,593D3,PUBLIC STREET NAMES
10442,CAMPUS CENTER,DR,,CAMPUS CENTER DRIVE,672F7,PUBLIC STREET NAMES
8165,CASE,AVE,,CASE AVENUE,533A6,PUBLIC STREET NAMES
8338,CALIFA,ST,,CALIFA STREET,563A1,PUBLIC STREET NAMES
8039,CHANUTE,ST,,CHANUTE STREET,502E3,PUBLIC STREET NAMES
7632,CRESTA,PL,,CRESTA PLACE,632F5,PUBLIC STREET NAMES
8196,CARNEGIE,ST,,CARNEGIE STREET,595D5,PUBLIC STREET NAMES
8067,CERROLA,LANE,,CERROLA LANE,NA,PUBLIC STREET NAMES
7842,COLCHESTER,WAY,,COLCHESTER WAY,500J1,PUBLIC STREET NAMES
7929,CISCO,ST,,CISCO STREET,632G5,PUBLIC STREET NAMES
10761,CASCADE,CT,,CASCADE COURT,502D6,PRIVATE ROADWAY NAMES
10712,COMO,CIR,,COMO CIRCLE,559J2,PRIVATE ROADWAY NAMES
8357,CAITHNESS,ST,,CAITHNESS STREET,480H6,PUBLIC STREET NAMES
10827,CALABRIA,WAY,,CALABRIA WAY,480E6,PRIVATE STREET NAMES
704,CHIANG KAI-SHEK,HWY,,CHIANG KAI-SHEK HIGHWAY,NA,PRIVATE STREET NAMES
701,CINDY,LANE,,CINDY LANE,564J6,PRIVATE STREET NAMES
8152,CASSARA,AVE,,CASSARA AVENUE,503B1,PUBLIC STREET NAMES
8024,CHARLEMONT,AVE,,CHARLEMONT AVENUE,559H5,PUBLIC STREET NAMES
711,CENTURY WOODS,WAY,,CENTURY WOODS WAY,632E4,PRIVATE STREET NAMES
8142,CASTILIAN,DR,,CASTILIAN DRIVE,593D2,PUBLIC STREET NAMES
10865,CONCERT PARK,DR,,CONCERT PARK DRIVE,702D1,PUBLIC STREET NAMES
10089,CORAL PINK,CIR,,CORAL PINK CIRCLE,529J7,PRIVATE ROADWAY NAMES
7594,CROYDON,AVE,,CROYDON AVENUE,702H2,PUBLIC STREET NAMES
7556,CUTTER,ST,,CUTTER STREET,564B4,PUBLIC STREET NAMES
7978,CHEROKEE,AVE,,CHEROKEE AVENUE,593E4,PUBLIC STREET NAMES
8025,CHARL,PL,,CHARL PLACE,592H2,PUBLIC STREET NAMES
716,CATSKILL,ROAD,,CATSKILL ROAD,503C4,PRIVATE STREET NAMES
8117,CATHEDRAL,PL,,CATHEDRAL PLACE,561A5,PUBLIC STREET NAMES
674,CRESTON,WAY,,CRESTON WAY,593F2,PRIVATE STREET NAMES
8332,CALLE DE MADRID,,,CALLE DE MADRID,630G2,PUBLIC STREET NAMES
8055,CHAFFEE,ST,,CHAFFEE STREET,504C4,PUBLIC STREET NAMES
7925,CITY VIEW,AVE,,CITY VIEW AVENUE,635A3,PUBLIC STREET NAMES
7561,CURWOOD,PL,,CURWOOD PLACE,592C3,PUBLIC STREET NAMES
7626,CRESTMOORE,PL,,CRESTMOORE PLACE,594G2,PUBLIC STREET NAMES
7669,COWPER,AVE,,COWPER AVENUE,529E3,PUBLIC STREET NAMES
7930,CIRRUS,WAY,,CIRRUS WAY,529F5,PUBLIC STREET NAMES
10447,CAMPUS CENTER,DR,,CAMPUS CENTER DRIVE,672F7,PRIVATE STREET NAMES
8270,CANTALOUPE,AVE,,CANTALOUPE AVENUE,532B1,PUBLIC STREET NAMES
8304,CAMERON,LANE,,CAMERON LANE,634D5,PUBLIC STREET NAMES
8057,CHADWICK,CIR,,CHADWICK CIRCLE,595E7,PUBLIC STREET NAMES
7971,CHESAPEAKE,AVE,,CHESAPEAKE AVENUE,633D7,PUBLIC STREET NAMES
8200,CARMEN,PL,,CARMEN PLACE,593F3,PUBLIC STREET NAMES
679,CORSAUT,PL,,CORSAUT PLACE,561D4,PRIVATE STREET NAMES
7907,CLARK,ST,,CLARK STREET,592H5,PUBLIC STREET NAMES
9638,CAMINO VEGA,,,CAMINO VEGA,794A6,UNOFFICIAL PRIVATE STREET NAMES
7609,CROFT,AVE,,CROFT AVENUE,593A4,PUBLIC STREET NAMES
8160,CASHMERE,ST,,CASHMERE STREET,631J1,PUBLIC STREET NAMES
8125,CATALON,AVE,,CATALON AVENUE,560C3,PUBLIC STREET NAMES
7696,COSTELLO,AVE,,COSTELLO AVENUE,502A7,PUBLIC STREET NAMES
8124,CATALONIA,AVE,,CATALONIA AVENUE,630G5,PUBLIC STREET NAMES
8225,CARIBETH,DR,,CARIBETH DRIVE,561E7,PUBLIC STREET NAMES
8026,CHARL,LANE,,CHARL LANE,735E7,PUBLIC STREET NAMES
8385,CABALLO,ROAD,,CABALLO ROAD,566J6,PUBLIC STREET NAMES
8340,CALHOUN,AVE,,CALHOUN AVENUE,532B2,PUBLIC STREET NAMES
7771,CONCORD,AVE,,CONCORD AVENUE,595G6,PUBLIC STREET NAMES
8329,CALLEJUELA,DR,,CALLEJUELA DRIVE,592G2,PUBLIC STREET NAMES
7853,COCHRAN,PL,,COCHRAN PLACE,633C5,PUBLIC STREET NAMES
8252,CANYON RIDGE,LANE,,CANYON RIDGE LANE,481C3,PUBLIC STREET NAMES
8177,CARTER,DR,,CARTER DRIVE,595D7,PUBLIC STREET NAMES
9643,CAROLYN,,,CAROLYN,501H2,UNOFFICIAL PRIVATE STREET NAMES
10298,CALLE DE MARISA,,,CALLE DE MARISA,630G1,PRIVATE ROADWAY NAMES
7554,CYNTHIA,AVE,,CYNTHIA AVENUE,595A2,PUBLIC STREET NAMES
8130,CASTLEWOODS,DR,,CASTLEWOODS DRIVE,561G7,PUBLIC STREET NAMES
8322,CALVERT,ST,,CALVERT STREET,533A7,PUBLIC STREET NAMES
720,CARLA,LANE,,CARLA LANE,529G2,PRIVATE STREET NAMES
8315,CAMARILLO,ST,,CAMARILLO STREET,563C3,PUBLIC STREET NAMES
8151,CASSATT,ST,,CASSATT STREET,595D5,PUBLIC STREET NAMES
8186,CARR,LANE,,CARR LANE,635A1,PUBLIC STREET NAMES
7882,CLEOMOORE,AVE,,CLEOMOORE AVENUE,529E6,PUBLIC STREET NAMES
8212,CARLTON,WAY,,CARLTON WAY,593H4,PUBLIC STREET NAMES
9943,CONTINENTAL CITY,DR,WEST,CONTINENTAL CITY DRIVE WEST,NA,PUBLIC STREET NAMES
7689,COUNCIL,ST,,COUNCIL STREET,634B1,PUBLIC STREET NAMES
8121,CATENIA,DR,,CATENIA DRIVE,481D6,PUBLIC STREET NAMES
8356,CAJON,CT,,CAJON COURT,NA,PUBLIC STREET NAMES
7562,CURTS,AVE,,CURTS AVENUE,632H7,PUBLIC STREET NAMES
8261,CANTON,WAY,,CANTON WAY,562H7,PUBLIC STREET NAMES
8216,CARLOS,AVE,,CARLOS AVENUE,593F4,PUBLIC STREET NAMES
8241,CAPPS,AVE,,CAPPS AVENUE,530H2,PUBLIC STREET NAMES
721,CARL,PL,,CARL PLACE,502D2,PRIVATE STREET NAMES
696,COBALT,AVE,,COBALT AVENUE,481J1,PRIVATE STREET NAMES
7741,CORALINE,PL,,CORALINE PLACE,500D3,PUBLIC STREET NAMES
709,CHARLES,ST,,CHARLES STREET,NA,PRIVATE STREET NAMES
7675,COVE,WAY,,COVE WAY,594E5,PUBLIC STREET NAMES
7788,COMET,ST,,COMET STREET,595F1,PUBLIC STREET NAMES
694,COHASSET,ST,,COHASSET STREET,533B4,PRIVATE STREET NAMES
8312,CAMBRIDGE,ST,,CAMBRIDGE STREET,633H5,PUBLIC STREET NAMES
667,CUMMINGS,DR,,CUMMINGS DRIVE,593J3,PRIVATE STREET NAMES
8255,CANYON HEIGHTS,LANE,,CANYON HEIGHTS LANE,593G2,PUBLIC STREET NAMES
7776,COMMUNITY,ST,,COMMUNITY STREET,532G1,PUBLIC STREET NAMES
7659,CRANDALL,ST,,CRANDALL STREET,634C2,PUBLIC STREET NAMES
7605,CROSBY,LANE,,CROSBY LANE,594E7,PUBLIC STREET NAMES
