Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10686,DEODARA,ST,,DEODARA STREET,634J4,PRIVATE ROADWAY NAMES
7351,DEVLIN,PL,,DEVLIN PLACE,592H5,PUBLIC STREET NAMES
10009,DYER,ST,,DYER STREET,482A5,PRIVATE STREET NAMES
7213,DORIC,ST,,DORIC STREET,481B5,PUBLIC STREET NAMES
7445,DEL ARROYO,DR,,DEL ARROYO DRIVE,503C7,PUBLIC STREET NAMES
7373,DE QUINCY,CT,,DE QUINCY COURT,529D3,PUBLIC STREET NAMES
7527,DANALDA,DR,,DANALDA DRIVE,632F6,PUBLIC STREET NAMES
7472,DEER,AVE,,DEER AVENUE,562C6,PUBLIC STREET NAMES
7170,DRYAD,CT,,DRYAD COURT,NA,PUBLIC STREET NAMES
643,DOCK,ST,,DOCK STREET,NA,PRIVATE STREET NAMES
7401,DELROSA,WALK,,DELROSA WALK,565A6,PUBLIC STREET NAMES
7504,DAVANA,TER,,DAVANA TERRACE,562B5,PUBLIC STREET NAMES
7532,DALTON,AVE,,DALTON AVENUE,763J2,PUBLIC STREET NAMES
7404,DEL RIO,AVE,,DEL RIO AVENUE,594J5,PUBLIC STREET NAMES
7442,DELAY,DR,,DELAY DRIVE,594F2,PUBLIC STREET NAMES
7230,DON RODOLFO,PL,,DON RODOLFO PLACE,673C3,PUBLIC STREET NAMES
7181,DRESDEN,PL,,DRESDEN PLACE,481C7,PUBLIC STREET NAMES
7278,DONA ISABEL,DR,,DONA ISABEL DRIVE,592J1,PUBLIC STREET NAMES
7110,DUXBURY,PL,,DUXBURY PLACE,632G6,PUBLIC STREET NAMES
7424,DELLVALE,PL,,DELLVALE PLACE,561E6,PUBLIC STREET NAMES
9889,DEVONPORT,LANE,,DEVONPORT LANE,560G6,PRIVATE STREET NAMES
10494,DELANTE,WAY,,DELANTE WAY,481A6,PRIVATE STREET NAMES
10046,DEAN,CIR,,DEAN CIRCLE,591F4,PRIVATE ROADWAY NAMES
10138,DOVER,DR,,DOVER DRIVE,500G7,PRIVATE ROADWAY NAMES
7372,DE ROJA,AVE,,DE ROJA AVENUE,560A2,PUBLIC STREET NAMES
7392,DENAIR,ST,,DENAIR STREET,631H2,PUBLIC STREET NAMES
7270,DONA MARIA,DR,,DONA MARIA DRIVE,562H7,PUBLIC STREET NAMES
7494,DAY,ST,,DAY STREET,504A4,PUBLIC STREET NAMES
10661,DEREK,LANE,,DEREK LANE,502G7,PRIVATE STREET NAMES
7534,DALLAS,ST,,DALLAS STREET,594G5,PUBLIC STREET NAMES
7455,DEGOVIA,AVE,,DEGOVIA AVENUE,559G4,PUBLIC STREET NAMES
7204,DORRIS,PL,,DORRIS PLACE,594G5,PUBLIC STREET NAMES
7467,DEERING,CIR,,DEERING CIRCLE,530C6,PUBLIC STREET NAMES
9667,DOWNEY,WAY,,DOWNEY WAY,NA,UNOFFICIAL PRIVATE STREET NAMES
7129,DUNLO,PL,,DUNLO PLACE,529D7,PUBLIC STREET NAMES
644,DOBLE,AVE,,DOBLE AVENUE,NA,PRIVATE STREET NAMES
10277,DOWNEY,WAY,,DOWNEY WAY,674A1,PRIVATE ROADWAY NAMES
7322,DIVINA,ST,,DIVINA STREET,560B5,PUBLIC STREET NAMES
7515,DARLA,AVE,,DARLA AVENUE,481C5,PUBLIC STREET NAMES
7483,DEBSTONE,AVE,,DEBSTONE AVENUE,562C6,PUBLIC STREET NAMES
7186,DRAKE,LANE,,DRAKE LANE,592D1,PUBLIC STREET NAMES
1783,DOHENY,PL,,DOHENY PLACE,592H5,PUBLIC STREET NAMES
7398,DEL VALLE,DR,,DEL VALLE DRIVE,633B3,PUBLIC STREET NAMES
7279,DONAIRE,WAY,,DONAIRE WAY,630H4,PUBLIC STREET NAMES
7461,DEERWOOD,TR,,DEERWOOD TRAIL,504C4,PUBLIC STREET NAMES
7548,D,ST,,D STREET,794F7,PUBLIC STREET NAMES
650,DENIVELLE,CT,,DENIVELLE COURT,503J1,PRIVATE STREET NAMES
7143,DUMONT,ST,,DUMONT STREET,560C3,PUBLIC STREET NAMES
7364,DES MOINES,AVE,,DES MOINES AVENUE,500F3,PUBLIC STREET NAMES
7379,DENSMORE,AVE,,DENSMORE AVENUE,501F1,PUBLIC STREET NAMES
7154,DUENDE,LANE,,DUENDE LANE,630H3,PUBLIC STREET NAMES
7184,DRAPER,AVE,,DRAPER AVENUE,632E6,PUBLIC STREET NAMES
7371,DERONDA,DR,,DERONDA DRIVE,563G7,PUBLIC STREET NAMES
7525,DANFORTH,DR,,DANFORTH DRIVE,595A3,PUBLIC STREET NAMES
7255,DON COTA,PL,,DON COTA PLACE,673C3,PUBLIC STREET NAMES
7388,DENISON,AVE,,DENISON AVENUE,824B7,PUBLIC STREET NAMES
7384,DENNI,ST,,DENNI STREET,794E4,PUBLIC STREET NAMES
654,DE GARMO,AVE,,DE GARMO AVENUE,NA,PRIVATE STREET NAMES
7246,DON JUAN,PL,,DON JUAN PLACE,560E4,PUBLIC STREET NAMES
1818,DUBNOFF,WAY,,DUBNOFF WAY,533B6,PUBLIC STREET NAMES
