Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
6778,EVERETT,PL,,EVERETT PLACE,634F1,PUBLIC STREET NAMES
11003,EAST SEAGLASS,CIR,,EAST SEAGLASS CIRCLE,702E1,PRIVATE ROADWAY NAMES
6820,ESPINOSA,ST,,ESPINOSA STREET,560G5,PUBLIC STREET NAMES
7043,EDGEHILL,DR,,EDGEHILL DRIVE,633F7,PUBLIC STREET NAMES
7062,EBEY,AVE,,EBEY AVENUE,595D4,PUBLIC STREET NAMES
6849,ENROSE,AVE,,ENROSE AVENUE,823H4,PUBLIC STREET NAMES
6925,EL MIO,DR,,EL MIO DRIVE,595C2,PUBLIC STREET NAMES
6847,ENSIGN,AVE,,ENSIGN AVENUE,533A2,PUBLIC STREET NAMES
6931,EL MANOR,AVE,,EL MANOR AVENUE,672G7,PUBLIC STREET NAMES
6902,EL ROBLE,LANE,,EL ROBLE LANE,592F3,PUBLIC STREET NAMES
6918,ELMWOOD,AVE,,ELMWOOD AVENUE,593G7,PUBLIC STREET NAMES
6863,ENADIA,WAY,,ENADIA WAY,529G5,PUBLIC STREET NAMES
6799,ETIWANDA,AVE,,ETIWANDA AVENUE,500J1,PUBLIC STREET NAMES
6971,ELGIN,ST,,ELGIN STREET,595E1,PUBLIC STREET NAMES
6795,EUBANK,AVE,,EUBANK AVENUE,794F4,PUBLIC STREET NAMES
6761,EZRA,ST,,EZRA STREET,635C5,PUBLIC STREET NAMES
6771,EXCELSIOR,ST,,EXCELSIOR STREET,481F3,PUBLIC STREET NAMES
6892,ELVIRA,ROAD,,ELVIRA ROAD,560A3,PUBLIC STREET NAMES
6927,ELMGROVE,ST,,ELMGROVE STREET,594H6,PUBLIC STREET NAMES
6985,ELDORA,PL,,ELDORA PLACE,503G2,PUBLIC STREET NAMES
6774,EVERS,AVE,,EVERS AVENUE,704F4,PUBLIC STREET NAMES
6882,EMERALD,DR,,EMERALD DRIVE,634E3,PUBLIC STREET NAMES
7011,EL ATAJO,ST,,EL ATAJO STREET,594J3,PUBLIC STREET NAMES
6922,ELMORAN,ST,,ELMORAN STREET,594F4,PUBLIC STREET NAMES
9805,ELMTREE,ROAD,,ELMTREE ROAD,500H3,PRIVATE STREET NAMES
6966,ELINDA,WAY,,ELINDA WAY,503A5,PUBLIC STREET NAMES
6850,ENRIQUE,ST,,ENRIQUE STREET,560C5,PUBLIC STREET NAMES
6796,ETTRICK,ST,,ETTRICK STREET,594C2,PUBLIC STREET NAMES
7010,ELBA,PL,,ELBA PLACE,529E7,PUBLIC STREET NAMES
6894,ELVIDO,DR,,ELVIDO DRIVE,561E7,PUBLIC STREET NAMES
6815,ESSEX,ST,,ESSEX STREET,634F7,PUBLIC STREET NAMES
6875,EMILY,ST,,EMILY STREET,854A1,PUBLIC STREET NAMES
10252,ENCINO VERDE,PL,,ENCINO VERDE PLACE,561D6,PRIVATE STREET NAMES
7075,EASTON,DR,,EASTON DRIVE,592C3,PUBLIC STREET NAMES
6949,ELLENVIEW,AVE,,ELLENVIEW AVENUE,529D7,PUBLIC STREET NAMES
6924,EL MIRADOR,DR,,EL MIRADOR DRIVE,673B2,PUBLIC STREET NAMES
6784,EVANSTON,ST,,EVANSTON STREET,631E4,PUBLIC STREET NAMES
6790,EUNICE,AVE,,EUNICE AVENUE,595E1,PUBLIC STREET NAMES
9958,ELECTRA,CT,,ELECTRA COURT,593B4,PUBLIC STREET NAMES
7072,EAST SIDE,BLVD,,EAST SIDE BOULEVARD,635C5,PUBLIC STREET NAMES
6940,ELLIS,DR,,ELLIS DRIVE,563D7,PUBLIC STREET NAMES
6806,ESTRELLA,AVE,,ESTRELLA AVENUE,634C6,PUBLIC STREET NAMES
