Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10315,FASHION SQUARE,LANE,,FASHION SQUARE LANE,562B4,PRIVATE ROADWAY NAMES
6680,FERNLEAF,ST,,FERNLEAF STREET,594H6,PUBLIC STREET NAMES
6512,FUTURE,ST,,FUTURE STREET,594H3,PUBLIC STREET NAMES
6604,FLOWERDALE,CT,,FLOWERDALE COURT,533B1,PUBLIC STREET NAMES
6688,FERN CANYON,TR,,FERN CANYON TRAIL,564B7,PUBLIC STREET NAMES
6702,FELICE,PL,,FELICE PLACE,560E3,PUBLIC STREET NAMES
6728,FAREHOLM,DR,,FAREHOLM DRIVE,593B4,PUBLIC STREET NAMES
9789,FULLER,AVE,,FULLER AVENUE,633C2,PRIVATE STREET NAMES
6664,FIJI,WAY,,FIJI WAY,672B7,PUBLIC STREET NAMES
590,FRIES,AVE,,FRIES AVENUE,824E2,PRIVATE STREET NAMES
6539,FRESNO,ST,,FRESNO STREET,635C5,PUBLIC STREET NAMES
6641,FITZGERALD,ST,,FITZGERALD STREET,529E3,PUBLIC STREET NAMES
6602,FLOYE,DR,,FLOYE DRIVE,563B7,PUBLIC STREET NAMES
9582,FOXBORO,LANE,,FOXBORO LANE,529E4,PUBLIC STREET NAMES
6606,FLOWER,DR,,FLOWER DRIVE,674B2,PUBLIC STREET NAMES
6574,FORUM,LANE,,FORUM LANE,NA,PUBLIC STREET NAMES
6530,FRONT,ST,,FRONT STREET,595G7,PUBLIC STREET NAMES
6547,FRANRIVERS,AVE,,FRANRIVERS AVENUE,559D2,PUBLIC STREET NAMES
6633,FLASHMAN,AVE,,FLASHMAN AVENUE,502D7,PUBLIC STREET NAMES
10070,FUCHSIA,CT,,FUCHSIA COURT,559J1,PRIVATE ROADWAY NAMES
10075,FLAME TREE,LANE,,FLAME TREE LANE,559J1,PRIVATE ROADWAY NAMES
6759,FABLE,AVE,,FABLE AVENUE,529F2,PUBLIC STREET NAMES
6695,FENWAY,ST,,FENWAY STREET,503A5,PUBLIC STREET NAMES
6644,FISKE,ST,,FISKE STREET,631B4,PUBLIC STREET NAMES
6657,FINK,ST,,FINK STREET,593E3,PUBLIC STREET NAMES
6706,FAY,AVE,,FAY AVENUE,632J7,PUBLIC STREET NAMES
6563,FRAMPTON,AVE,,FRAMPTON AVENUE,794A1,PUBLIC STREET NAMES
6677,FERNWOOD,AVE,,FERNWOOD AVENUE,594C4,PUBLIC STREET NAMES
10131,FRANCINE,LANE,,FRANCINE LANE,500B3,PRIVATE STREET NAMES
6575,FORTUNE,WAY,,FORTUNE WAY,595F1,PUBLIC STREET NAMES
6753,FAIRCHILD,AVE,,FAIRCHILD AVENUE,530C3,PUBLIC STREET NAMES
6515,FURNESS,AVE,,FURNESS AVENUE,595B3,PUBLIC STREET NAMES
10361,FALCON CREST,CT,,FALCON CREST COURT,480E6,PRIVATE STREET NAMES
6683,FERNDALE,ST,,FERNDALE STREET,633C7,PUBLIC STREET NAMES
6711,FARWELL,AVE,,FARWELL AVENUE,594E3,PUBLIC STREET NAMES
6550,FRANKLIN,WAY,,FRANKLIN WAY,592J4,PUBLIC STREET NAMES
6734,FALMOUTH,AVE,,FALMOUTH AVENUE,702B2,PUBLIC STREET NAMES
6742,FAIRWAY,AVE,,FAIRWAY AVENUE,562E5,PUBLIC STREET NAMES
6567,FOXCROFT,PL,,FOXCROFT PLACE,481C6,PUBLIC STREET NAMES
6645,FISHER,ST,,FISHER STREET,595D1,PUBLIC STREET NAMES
6642,FITHIAN,AVE,,FITHIAN AVENUE,595E6,PUBLIC STREET NAMES
6583,FORGE,PL,,FORGE PLACE,501G3,PUBLIC STREET NAMES
604,FIERO,ST,,FIERO STREET,594F1,PRIVATE STREET NAMES
6745,FAIR PARK,AVE,,FAIR PARK AVENUE,565A6,PUBLIC STREET NAMES
595,FORT MOORE,PL,,FORT MOORE PLACE,634F3,PRIVATE STREET NAMES
600,FLYNN RANCH,ROAD,,FLYNN RANCH ROAD,563A7,PRIVATE STREET NAMES
6605,FLOWER,ST,,FLOWER STREET,674B4,PUBLIC STREET NAMES
6708,FAWNDALE,PL,,FAWNDALE PLACE,561J7,PUBLIC STREET NAMES
6555,FRANK,CT,,FRANK COURT,634F4,PUBLIC STREET NAMES
6652,FIRENZE,PL,,FIRENZE PLACE,593B1,PUBLIC STREET NAMES
6587,FOREST HILLS,ROAD,,FOREST HILLS ROAD,529F5,PUBLIC STREET NAMES
6698,FENN,ST,,FENN STREET,595B6,PUBLIC STREET NAMES
6634,FLANDERS,ST,,FLANDERS STREET,501B1,PUBLIC STREET NAMES
6546,FRASER,AVE,,FRASER AVENUE,481B5,PUBLIC STREET NAMES
6635,FLANCO,ROAD,,FLANCO ROAD,559J4,PUBLIC STREET NAMES
11027,FOX,LANE,,FOX LANE,594E6,LIMITED ACCESS AREA NAMES
6564,FRACKELTON,PL,,FRACKELTON PLACE,565C5,PUBLIC STREET NAMES
10081,FRAGRANS,WAY,,FRAGRANS WAY,559J1,PRIVATE ROADWAY NAMES
6608,FLOWER,AVE,,FLOWER AVENUE,671H4,PUBLIC STREET NAMES
6691,FERN,PL,,FERN PLACE,595D6,PUBLIC STREET NAMES
6599,FOND,DR,,FOND DRIVE,561F7,PUBLIC STREET NAMES
6729,FAREHOLM,CT,,FAREHOLM COURT,593B4,PUBLIC STREET NAMES
6722,FARMDALE,AVE,,FARMDALE AVENUE,633D7,PUBLIC STREET NAMES
6682,FERN DELL,DR,,FERN DELL DRIVE,593H3,PUBLIC STREET NAMES
6,FREMONT VILLAS,,,FREMONT VILLAS,595D4,LIMITED ACCESS AREA NAMES
6666,FIGUEROA,TER,,FIGUEROA TERRACE,634F1,PUBLIC STREET NAMES
6638,FLAG,ST,,FLAG STREET,593G3,PUBLIC STREET NAMES
9675,FOUNTAIN PARK,LANE,,FOUNTAIN PARK LANE,560A1,UNOFFICIAL PRIVATE STREET NAMES
6631,FLEET,ST,,FLEET STREET,701H1,PUBLIC STREET NAMES
6612,FLORIAN,PL,,FLORIAN PLACE,592D3,PUBLIC STREET NAMES
6541,FREMONT,AVE,,FREMONT AVENUE,634F3,PUBLIC STREET NAMES
9581,FLOWER HILL,CIR,,FLOWER HILL CIRCLE,481B7,PUBLIC STREET NAMES
597,FOREST PARK,DR,,FOREST PARK DRIVE,595C7,PRIVATE STREET NAMES
6718,FARNAM,ST,,FARNAM STREET,595A2,PUBLIC STREET NAMES
10515,FANDANGO,ST,,FANDANGO STREET,481A6,PRIVATE STREET NAMES
10090,FLEURY,LANE,,FLEURY LANE,529J7,PRIVATE ROADWAY NAMES
6569,FOX,ST,,FOX STREET,502A2,PUBLIC STREET NAMES
6720,FARMINGTON,AVE,,FARMINGTON AVENUE,503F4,PUBLIC STREET NAMES
6594,FOOTHILL,BLVD,,FOOTHILL BOULEVARD,504D6,PUBLIC STREET NAMES
6743,FAIRVIEW,BLVD,,FAIRVIEW BOULEVARD,673A7,PUBLIC STREET NAMES
6686,FERNCOLA,AVE,,FERNCOLA AVENUE,533B3,PUBLIC STREET NAMES
6570,FOWLING,ST,,FOWLING STREET,702A3,PUBLIC STREET NAMES
6740,FALKIRK,LANE,,FALKIRK LANE,631G4,PUBLIC STREET NAMES
6529,FRONTENAC,AVE,,FRONTENAC AVENUE,595A4,PUBLIC STREET NAMES
6609,FLORIZEL,ST,,FLORIZEL STREET,595C6,PUBLIC STREET NAMES
10720,FENTON GROVE,LANE,,FENTON GROVE LANE,482G7,PRIVATE ROADWAY NAMES
6725,FARIS,DR,,FARIS DRIVE,632G7,PUBLIC STREET NAMES
6716,FARQUHAR,ST,,FARQUHAR STREET,635E2,PUBLIC STREET NAMES
6757,FAIR,AVE,,FAIR AVENUE,562J5,PUBLIC STREET NAMES
9785,FALCON CREST,WAY,,FALCON CREST WAY,480E6,PRIVATE STREET NAMES
9831,FOX HOLLOW,LANE,,FOX HOLLOW LANE,502F1,PRIVATE ROADWAY NAMES
6628,FLEMISH,LANE,,FLEMISH LANE,593H5,PUBLIC STREET NAMES
6511,FYLER,PL,,FYLER PLACE,564H7,PUBLIC STREET NAMES
6535,FRIENDS,ST,,FRIENDS STREET,631A6,PUBLIC STREET NAMES
6593,FOOTHILL,DR,,FOOTHILL DRIVE,593G3,PUBLIC STREET NAMES
6537,FRIAR,ST,,FRIAR STREET,533A6,PUBLIC STREET NAMES
10420,FOUNTAIN PARK,DR,,FOUNTAIN PARK DRIVE,702D1,PUBLIC STREET NAMES
10242,FREEPORT,TER,,FREEPORT TERRACE,823J6,PRIVATE ROADWAY NAMES
6617,FLORAMORGAN,TR,,FLORAMORGAN TRAIL,504A5,PUBLIC STREET NAMES
6611,FLORIDA,ST,,FLORIDA STREET,NA,PUBLIC STREET NAMES
6668,FIGUEROA,PL,,FIGUEROA PLACE,794C5,PUBLIC STREET NAMES
592,FREMONT,PL,WEST,FREMONT PLACE WEST,633F3,PRIVATE STREET NAMES
6581,FORMOSA,AVE,,FORMOSA AVENUE,633D1,PUBLIC STREET NAMES
6559,FRANCIS,AVE,,FRANCIS AVENUE,634A3,PUBLIC STREET NAMES
6760,F,ST,,F STREET,794G6,PUBLIC STREET NAMES
6554,FRANKFORT,ST,,FRANKFORT STREET,530G2,PUBLIC STREET NAMES
6545,FRASER,PL,,FRASER PLACE,481B5,PUBLIC STREET NAMES
6662,FILION,ST,,FILION STREET,594G1,PUBLIC STREET NAMES
6623,FLIGHT,PL,,FLIGHT PLACE,702H2,PUBLIC STREET NAMES
6744,FAIRVIEW,AVE,,FAIRVIEW AVENUE,634J3,PUBLIC STREET NAMES
9877,FRONTIER,PL,,FRONTIER PLACE,499J2,PRIVATE STREET NAMES
6610,FLORISTAN,AVE,,FLORISTAN AVENUE,565B6,PUBLIC STREET NAMES
6661,FILION,WALK,,FILION WALK,NA,PUBLIC STREET NAMES
599,FORDYCE,ROAD,,FORDYCE ROAD,631G1,PRIVATE STREET NAMES
6710,FAUST,AVE,,FAUST AVENUE,529H2,PUBLIC STREET NAMES
6684,FERNDALE,AVE,,FERNDALE AVENUE,672B4,PUBLIC STREET NAMES
6613,FLORES,ST,,FLORES STREET,633A1,PUBLIC STREET NAMES
6588,FOREST,AVE,,FOREST AVENUE,593B1,PUBLIC STREET NAMES
6584,FOREST PARK,DR,,FOREST PARK DRIVE,595C7,PUBLIC STREET NAMES
6614,FLORES,AVE,,FLORES AVENUE,673B6,PUBLIC STREET NAMES
6566,FOX HILLS,DR,,FOX HILLS DRIVE,632D3,PUBLIC STREET NAMES
6696,FENTON,AVE,,FENTON AVENUE,482B2,PUBLIC STREET NAMES
6572,FOUNTAIN,AVE,,FOUNTAIN AVENUE,593G5,PUBLIC STREET NAMES
6626,FLICKER,PL,,FLICKER PLACE,592G5,PUBLIC STREET NAMES
603,FIRTH,DR,,FIRTH DRIVE,562C7,PRIVATE STREET NAMES
6659,FINCH,ST,,FINCH STREET,594D2,PUBLIC STREET NAMES
6703,FEDORA,ST,,FEDORA STREET,633J3,PUBLIC STREET NAMES
9674,FIREBRAND,PL,,FIREBRAND PLACE,672D1,UNOFFICIAL PRIVATE STREET NAMES
6531,FRITZ,LANE,,FRITZ LANE,482C1,PUBLIC STREET NAMES
6621,FLINT,AVE,,FLINT AVENUE,794G5,PUBLIC STREET NAMES
601,FISH HARBOR WHARF,,,FISH HARBOR WHARF,NA,PRIVATE STREET NAMES
609,FAIR,AVE,,FAIR AVENUE,NA,PRIVATE STREET NAMES
6562,FRANCE,AVE,,FRANCE AVENUE,504B4,PUBLIC STREET NAMES
6738,FALLBROOK,AVE,,FALLBROOK AVENUE,529H3,PUBLIC STREET NAMES
610,F,CT,,F COURT,NA,PRIVATE STREET NAMES
6585,FOREST LAWN,DR,,FOREST LAWN DRIVE,563G4,PUBLIC STREET NAMES
6727,FARGO,ST,,FARGO STREET,594D5,PUBLIC STREET NAMES
6580,FORNEY,ST,,FORNEY STREET,594G5,PUBLIC STREET NAMES
6751,FAIRFIELD,AVE,,FAIRFIELD AVENUE,593E3,PUBLIC STREET NAMES
6679,FERNMONT,ST,,FERNMONT STREET,482D4,PUBLIC STREET NAMES
10592,FERNSIDE,LANE,,FERNSIDE LANE,480D6,PRIVATE ROADWAY NAMES
6568,FOXBORO,DR,,FOXBORO DRIVE,639H6,PUBLIC STREET NAMES
6748,FAIRLAND,CT,,FAIRLAND COURT,481B6,PUBLIC STREET NAMES
6701,FELLOWS,AVE,,FELLOWS AVENUE,482D7,PUBLIC STREET NAMES
6673,FES,ST,,FES STREET,533A1,PUBLIC STREET NAMES
6749,FAIRHAVEN,AVE,,FAIRHAVEN AVENUE,559D1,PUBLIC STREET NAMES
6636,FLAMINGO,ST,,FLAMINGO STREET,559H5,PUBLIC STREET NAMES
6658,FINK,PL,,FINK PLACE,593E3,PUBLIC STREET NAMES
10460,FIRENZE,LANE,,FIRENZE LANE,500D1,PRIVATE STREET NAMES
6592,FOOTHILL,PL,,FOOTHILL PLACE,503D1,PUBLIC STREET NAMES
6741,FALCON,PL,,FALCON PLACE,481B5,PUBLIC STREET NAMES
10385,FAWNWOOD,LANE,,FAWNWOOD LANE,500H4,PRIVATE STREET NAMES
10831,FLORENCIA,WAY,,FLORENCIA WAY,480E6,PRIVATE STREET NAMES
6692,FERMO,DR,,FERMO DRIVE,631D4,PUBLIC STREET NAMES
6542,FREDONIA,DR,,FREDONIA DRIVE,563A6,PUBLIC STREET NAMES
10465,FERRARA,LANE,,FERRARA LANE,500D1,PRIVATE STREET NAMES
6549,FRANKLIN CANYON,DR,,FRANKLIN CANYON DRIVE,592E4,PUBLIC STREET NAMES
