Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
5830,HOLLY,DR,,HOLLY DRIVE,593E2,PUBLIC STREET NAMES
6012,HAVERHILL,WAY,,HAVERHILL WAY,NA,PUBLIC STREET NAMES
5810,HOLLYWOOD,WAY,,HOLLYWOOD WAY,533C2,PUBLIC STREET NAMES
6077,HANLEY,WAY,,HANLEY WAY,631F2,PUBLIC STREET NAMES
10347,HARBOR HEIGHTS,DR,,HARBOR HEIGHTS DRIVE,794A4,PRIVATE STREET NAMES
5923,HIGHCLIFF,TR,,HIGHCLIFF TRAIL,504A5,PUBLIC STREET NAMES
5770,HOWARD,ST,,HOWARD STREET,634H3,PUBLIC STREET NAMES
6110,HALLDALE,AVE,,HALLDALE AVENUE,633J6,PUBLIC STREET NAMES
6075,HANNUM,DR,,HANNUM DRIVE,632G7,PUBLIC STREET NAMES
5911,HIGHLAND VIEW,AVE,,HIGHLAND VIEW AVENUE,565A5,PUBLIC STREET NAMES
5771,HOWARD,CT,,HOWARD COURT,560D5,PUBLIC STREET NAMES
5762,HUBBARD,PL,,HUBBARD PLACE,481J6,PUBLIC STREET NAMES
5981,HEDGES,WAY,,HEDGES WAY,592J5,PUBLIC STREET NAMES
5808,HOLMAN,AVE,,HOLMAN AVENUE,632C3,PUBLIC STREET NAMES
5898,HIGMAN,AVE,,HIGMAN AVENUE,593D5,PUBLIC STREET NAMES
5982,HEDGES,PL,,HEDGES PLACE,592J5,PUBLIC STREET NAMES
5943,HERMOSA,AVE,,HERMOSA AVENUE,565A5,PUBLIC STREET NAMES
5875,HILL OAK,DR,,HILL OAK DRIVE,593G2,PUBLIC STREET NAMES
6086,HAMPTON,CT,,HAMPTON COURT,480J7,PUBLIC STREET NAMES
5815,HOLLYRIDGE,LOOP,,HOLLYRIDGE LOOP,593G3,PUBLIC STREET NAMES
552,HAYNES,ST,,HAYNES STREET,530G6,PRIVATE STREET NAMES
10617,HORSE HAVEN,ST,,HORSE HAVEN STREET,503B7,PUBLIC STREET NAMES
5790,HONOLULU,AVE,,HONOLULU AVENUE,504C7,PUBLIC STREET NAMES
5889,HILLCREST,DR,,HILLCREST DRIVE,592E4,PUBLIC STREET NAMES
5996,HAZEL KIRK,DR,,HAZEL KIRK DRIVE,594B3,PUBLIC STREET NAMES
10716,HOYT,LANE,,HOYT LANE,482G7,PRIVATE ROADWAY NAMES
5877,HILLHURST,AVE,,HILLHURST AVENUE,594A2,PUBLIC STREET NAMES
5812,HOLLYWOOD,FRWY,,HOLLYWOOD FREEWAY,502E7,PUBLIC STREET NAMES
5957,HENRY FORD,AVE,,HENRY FORD AVENUE,794H6,PUBLIC STREET NAMES
5915,HIGHLANDER,ROAD,,HIGHLANDER ROAD,529D5,PUBLIC STREET NAMES
6062,HARDING,CT,,HARDING COURT,672A5,PUBLIC STREET NAMES
6053,HARLISS,ST,,HARLISS STREET,500G5,PUBLIC STREET NAMES
5871,HILLROSE,ST,,HILLROSE STREET,504A3,PUBLIC STREET NAMES
6045,HARRIDGE,DR,,HARRIDGE DRIVE,592D5,PUBLIC STREET NAMES
5864,HILLSLOPE,ST,,HILLSLOPE STREET,562F6,PUBLIC STREET NAMES
5847,HOBART,PL,,HOBART PLACE,593H7,PUBLIC STREET NAMES
10624,HIDDEN OAKS,ROAD,,HIDDEN OAKS ROAD,561B4,PRIVATE STREET NAMES
6097,HAMILTON,DR,,HAMILTON DRIVE,504C6,PUBLIC STREET NAMES
5928,HIDDEN OAK,DR,,HIDDEN OAK DRIVE,503F4,PUBLIC STREET NAMES
5941,HERRON,ST,,HERRON STREET,482E1,PUBLIC STREET NAMES
6079,HANLEY,AVE,,HANLEY AVENUE,631E1,PUBLIC STREET NAMES
5751,HUMPHREY,WALK,,HUMPHREY WALK,673F3,PUBLIC STREET NAMES
5937,HESPERIA,AVE,,HESPERIA AVENUE,531A3,PUBLIC STREET NAMES
