Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
5716,ILONA,AVE,,ILONA AVENUE,632D5,PUBLIC STREET NAMES
5658,IRVINGTON,PL,,IRVINGTON PLACE,595B2,PUBLIC STREET NAMES
5726,I,ST,,I STREET,794E6,PUBLIC STREET NAMES
5651,ISLETA,ST,,ISLETA STREET,631H2,PUBLIC STREET NAMES
5701,INDIANAPOLIS,ST,,INDIANAPOLIS STREET,672B2,PUBLIC STREET NAMES
10758,ISAMAR,CT,,ISAMAR COURT,501J6,PRIVATE ROADWAY NAMES
5676,INWOOD,WALK,,INWOOD WALK,562C6,PUBLIC STREET NAMES
5691,INGLIS,WALK,,INGLIS WALK,594H2,PUBLIC STREET NAMES
523,IONE,PL,,IONE PLACE,563C7,PRIVATE STREET NAMES
9885,IVERSON,ROAD,,IVERSON ROAD,499H2,PUBLIC STREET NAMES
5720,IDYLWILD,AVE,,IDYLWILD AVENUE,595A6,PUBLIC STREET NAMES
527,INDEX,ST,,INDEX STREET,500G2,PRIVATE STREET NAMES
5640,IVY,ST,,IVY STREET,632H7,PUBLIC STREET NAMES
5664,IRMA,AVE,,IRMA AVENUE,503J3,PUBLIC STREET NAMES
5675,INYO,ST,,INYO STREET,595B7,PUBLIC STREET NAMES
5672,IOWA,AVE,,IOWA AVENUE,632A5,PUBLIC STREET NAMES
5693,INGLEWOOD,BLVD,,INGLEWOOD BOULEVARD,672B1,PUBLIC STREET NAMES
5643,IVAR,AVE,,IVAR AVENUE,593F3,PUBLIC STREET NAMES
526,INEZ,ST,,INEZ STREET,633J5,PRIVATE STREET NAMES
5638,IVYSIDE,PL,,IVYSIDE PLACE,561D7,PUBLIC STREET NAMES
9587,INDIAN HILL,LANE,,INDIAN HILL LANE,529D4,PUBLIC STREET NAMES
5679,INTERVALE,ROAD,,INTERVALE ROAD,NA,PUBLIC STREET NAMES
5649,ITHACA,AVE,,ITHACA AVENUE,635E1,PUBLIC STREET NAMES
10900,INSPIRE,LANE,,INSPIRE LANE,502F1,LIMITED ACCESS AREA NAMES
5656,ISABEL,DR,,ISABEL DRIVE,594H3,PUBLIC STREET NAMES
5690,INGOMAR,ST,,INGOMAR STREET,530A3,PUBLIC STREET NAMES
5692,INGLIS,DR,,INGLIS DRIVE,594H2,PUBLIC STREET NAMES
5681,INTERCEPTOR,ST,,INTERCEPTOR STREET,702J3,PUBLIC STREET NAMES
5667,IRIS,CIR,,IRIS CIRCLE,593D2,PUBLIC STREET NAMES
5723,IDA,ST,,IDA STREET,630H5,PUBLIC STREET NAMES
5712,IMPERIAL,ST,,IMPERIAL STREET,634H6,PUBLIC STREET NAMES
5666,IRIS,DR,,IRIS DRIVE,593D2,PUBLIC STREET NAMES
5706,INDIA,ST,,INDIA STREET,594E4,PUBLIC STREET NAMES
522,ISLAND,AVE,,ISLAND AVENUE,NA,PRIVATE STREET NAMES
5660,IRVINE,AVE,,IRVINE AVENUE,562H5,PUBLIC STREET NAMES
5682,INSTITUTE,PL,,INSTITUTE PLACE,593H6,PUBLIC STREET NAMES
5674,IONE,DR,,IONE DRIVE,563C7,PUBLIC STREET NAMES
5703,INDIANA,CT,,INDIANA COURT,671J4,PUBLIC STREET NAMES
528,IA,LANE,,IA LANE,559H5,PRIVATE STREET NAMES
5696,INGLEDALE,TER,,INGLEDALE TERRACE,594D2,PUBLIC STREET NAMES
5704,INDIANA,AVE,,INDIANA AVENUE,635C1,PUBLIC STREET NAMES
10769,ISLAND PALMS,LANE,,ISLAND PALMS LANE,482C4,PRIVATE ROADWAY NAMES
524,IONE,DR,,IONE DRIVE,563C7,PRIVATE STREET NAMES
5661,IRONSIDES,ST,,IRONSIDES STREET,701H1,PUBLIC STREET NAMES
5685,INNSDALE,DR,,INNSDALE DRIVE,563F7,PUBLIC STREET NAMES
9873,INDIAN,DR,,INDIAN DRIVE,500A1,PRIVATE STREET NAMES
5673,IONE,WALK,,IONE WALK,563C7,PUBLIC STREET NAMES
10256,INDEPENDENCE,AVE,,INDEPENDENCE AVENUE,530B1,PRIVATE STREET NAMES
5705,INDIANA,AVE,,INDIANA AVENUE,671J4,PUBLIC STREET NAMES
5652,ISLAND,AVE,,ISLAND AVENUE,794E5,PUBLIC STREET NAMES
5650,ITASCA,ST,,ITASCA STREET,501D5,PUBLIC STREET NAMES
5713,IMPERIAL,HWY,,IMPERIAL HIGHWAY,704H7,PUBLIC STREET NAMES
5668,IRENE,ST,,IRENE STREET,632E7,PUBLIC STREET NAMES
5698,INDUSTRIAL,WAY,,INDUSTRIAL WAY,675B2,PUBLIC STREET NAMES
5639,IVY GLEN,WAY,,IVY GLEN WAY,632E7,PUBLIC STREET NAMES
5710,INCA,PL,,INCA PLACE,NA,PUBLIC STREET NAMES
5688,INGRES,AVE,,INGRES AVENUE,481C4,PUBLIC STREET NAMES
5689,INGRAHAM,ST,,INGRAHAM STREET,634D3,PUBLIC STREET NAMES
5684,INSKEEP,AVE,,INSKEEP AVENUE,674C6,PUBLIC STREET NAMES
5699,INDUSTRIAL,ST,,INDUSTRIAL STREET,634G6,PUBLIC STREET NAMES
5669,IREDELL,ST,,IREDELL STREET,562G7,PUBLIC STREET NAMES
