Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
5486,KENT,ST,,KENT STREET,594C7,PUBLIC STREET NAMES
5498,KEMPER,CIR,,KEMPER CIRCLE,594H4,PUBLIC STREET NAMES
506,KEY WEST,AVE,,KEY WEST AVENUE,500G2,PRIVATE STREET NAMES
5479,KENWATER,AVE,,KENWATER AVENUE,529E7,PUBLIC STREET NAMES
5507,KELLER,ST,,KELLER STREET,634H3,PUBLIC STREET NAMES
28,KETCH,MALL,,KETCH MALL,701J1,PEDESTRIAN MALL NAMES
5528,KAILUA,LANE,,KAILUA LANE,503J3,PUBLIC STREET NAMES
5393,KIVIK,ST,,KIVIK STREET,559F3,PUBLIC STREET NAMES
10656,KNOLL,HILL,,KNOLL HILL,480J6,PRIVATE STREET NAMES
9965,KITTY'S,LANE,,KITTY'S LANE,504C6,PUBLIC STREET NAMES
5464,KETCH,CT,,KETCH COURT,701J1,PUBLIC STREET NAMES
5438,KIMBALL,ST,,KIMBALL STREET,595E7,PUBLIC STREET NAMES
10044,KYLE,CT,,KYLE COURT,529G4,PRIVATE STREET NAMES
5427,KINGMAN,AVE,,KINGMAN AVENUE,631C7,PUBLIC STREET NAMES
5401,KIRKLAND,DR,,KIRKLAND DRIVE,592D1,PUBLIC STREET NAMES
5381,KNOWLTON,PL,,KNOWLTON PLACE,703A1,PUBLIC STREET NAMES
10370,KIYOT,WAY,,KIYOT WAY,702D1,PUBLIC STREET NAMES
5410,KIOWA,AVE,,KIOWA AVENUE,631H5,PUBLIC STREET NAMES
5374,KOPANY,AVE,,KOPANY AVENUE,482B1,PUBLIC STREET NAMES
5485,KENTER,AVE,,KENTER AVENUE,591E7,PUBLIC STREET NAMES
5382,KNOLLWOOD,DR,,KNOLLWOOD DRIVE,481D5,PUBLIC STREET NAMES
5445,KILLION,ST,,KILLION STREET,562H1,PUBLIC STREET NAMES
5449,KILLARNEY,AVE,,KILLARNEY AVENUE,594H4,PUBLIC STREET NAMES
5446,KILLIMORE,CT,,KILLIMORE COURT,480H7,PUBLIC STREET NAMES
9686,KONTIKI,WAY,,KONTIKI WAY,630J6,UNOFFICIAL PRIVATE STREET NAMES
5467,KESTER,AVE,,KESTER AVENUE,501H2,PUBLIC STREET NAMES
5478,KENWATER,PL,,KENWATER PLACE,529E7,PUBLIC STREET NAMES
5466,KESWICK,AVE,,KESWICK AVENUE,632D4,PUBLIC STREET NAMES
5367,KUEN,PL,,KUEN PLACE,562D2,PUBLIC STREET NAMES
10543,KNOLLWOOD,WAY,,KNOLLWOOD WAY,559H3,PUBLIC STREET NAMES
5413,KINNEY,WALK,,KINNEY WALK,594H2,PUBLIC STREET NAMES
5366,KURL,WAY,,KURL WAY,530H6,PUBLIC STREET NAMES
5448,KILLGORE,ST,,KILLGORE STREET,NA,PUBLIC STREET NAMES
5385,KNOB,DR,,KNOB DRIVE,594H4,PUBLIC STREET NAMES
5455,KEY WEST,AVE,,KEY WEST AVENUE,500G2,PUBLIC STREET NAMES
5496,KEMPER,ST,,KEMPER STREET,594H4,PUBLIC STREET NAMES
501,KLUMP,AVE,,KLUMP AVENUE,532J6,PRIVATE STREET NAMES
5430,KINCHELOE,DR,,KINCHELOE DRIVE,565B5,PUBLIC STREET NAMES
5488,KENNY,DR,,KENNY DRIVE,481D5,PUBLIC STREET NAMES
5459,KEWANEE,ST,,KEWANEE STREET,595D7,PUBLIC STREET NAMES
5383,KNOLL,DR,,KNOLL DRIVE,824C3,PUBLIC STREET NAMES
5447,KILLIMORE,AVE,,KILLIMORE AVENUE,480G7,PUBLIC STREET NAMES
5480,KENTWORTHY,AVE,,KENTWORTHY AVENUE,794A2,PUBLIC STREET NAMES
5378,KNOX,ST,,KNOX STREET,764A3,PUBLIC STREET NAMES
500,KRESS,ST,,KRESS STREET,592J3,PRIVATE STREET NAMES
5384,KNOBHILL,DR,,KNOBHILL DRIVE,562A6,PUBLIC STREET NAMES
5406,KIPTON,PL,,KIPTON PLACE,560J4,PUBLIC STREET NAMES
5441,KILTY,AVE,,KILTY AVENUE,529F5,PUBLIC STREET NAMES
5424,KINGSBURY,ST,,KINGSBURY STREET,502A3,PUBLIC STREET NAMES
9683,KATHY,,,KATHY,501H2,UNOFFICIAL PRIVATE STREET NAMES
5429,KING,AVE,,KING AVENUE,794D5,PUBLIC STREET NAMES
5396,KITTRIDGE,ST,,KITTRIDGE STREET,533A6,PUBLIC STREET NAMES
10230,KATRINA,LANE,,KATRINA LANE,594A2,PRIVATE STREET NAMES
5388,KLING,ST,,KLING STREET,563A4,PUBLIC STREET NAMES
5443,KILLOCH,WAY,,KILLOCH WAY,480G6,PUBLIC STREET NAMES
5489,KENNETH,DR,,KENNETH DRIVE,595D6,PUBLIC STREET NAMES
5481,KENTWOOD,AVE,,KENTWOOD AVENUE,672G7,PUBLIC STREET NAMES
10251,KENDRA,CT,,KENDRA COURT,593E3,PRIVATE STREET NAMES
5365,KURT,ST,,KURT STREET,503B1,PUBLIC STREET NAMES
5458,KEWEN,AVE,,KEWEN AVENUE,502B1,PUBLIC STREET NAMES
5421,KINGSTON,AVE,,KINGSTON AVENUE,635A3,PUBLIC STREET NAMES
10714,KEONI,LANE,,KEONI LANE,501G3,PRIVATE ROADWAY NAMES
505,KING,AVE,,KING AVENUE,NA,PRIVATE STREET NAMES
10979,KINGS,PL,,KINGS PLACE,595E7,PUBLIC STREET NAMES
5473,KEOKUK,AVE,,KEOKUK AVENUE,500D4,PUBLIC STREET NAMES
5405,KIRBY,ST,,KIRBY STREET,595D1,PUBLIC STREET NAMES
5442,KILRENNEY,AVE,,KILRENNEY AVENUE,632F6,PUBLIC STREET NAMES
5434,KIMRIDGE,ROAD,,KIMRIDGE ROAD,592F2,PUBLIC STREET NAMES
5453,KILBOURN,ST,,KILBOURN STREET,594H4,PUBLIC STREET NAMES
5409,KIP,DR,,KIP DRIVE,592C4,PUBLIC STREET NAMES
5419,KINGSWOOD,LANE,,KINGSWOOD LANE,561H6,PUBLIC STREET NAMES
5390,KLEE,ST,,KLEE STREET,501D7,PUBLIC STREET NAMES
10166,KENTWOOD,CT,,KENTWOOD COURT,672G7,PUBLIC STREET NAMES
5497,KEMPER,CT,,KEMPER COURT,594H4,PUBLIC STREET NAMES
