Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
4818,LYLE,ST,,LYLE STREET,482A4,PUBLIC STREET NAMES
5167,LAVA,PL,,LAVA PLACE,529E1,PUBLIC STREET NAMES
5133,LEDO,WAY,,LEDO WAY,591J7,PUBLIC STREET NAMES
5064,LIFUR,AVE,,LIFUR AVENUE,595F6,PUBLIC STREET NAMES
5042,LINCOLN HIGH,CT,,LINCOLN HIGH COURT,595C7,PUBLIC STREET NAMES
5118,LEIGHTON,AVE,,LEIGHTON AVENUE,674A2,PUBLIC STREET NAMES
5344,LA CIENEGA,BLVD,,LA CIENEGA BOULEVARD,592J7,PUBLIC STREET NAMES
4905,LORENZO,DR,,LORENZO DRIVE,632F5,PUBLIC STREET NAMES
5298,LAKE VIEW,AVE,,LAKE VIEW AVENUE,594E4,PUBLIC STREET NAMES
5125,LEGARY,PL,,LEGARY PLACE,823H5,PUBLIC STREET NAMES
5123,LEGION,LANE,,LEGION LANE,594D1,PUBLIC STREET NAMES
4858,LOWRY,ROAD,,LOWRY ROAD,594B2,PUBLIC STREET NAMES
5102,LEMP,AVE,,LEMP AVENUE,532H3,PUBLIC STREET NAMES
5216,LAS FLORES,CT,,LAS FLORES COURT,672F2,PUBLIC STREET NAMES
5132,LE DOUX,ROAD,,LE DOUX ROAD,632J1,PUBLIC STREET NAMES
4870,LOUISE,AVE,,LOUISE AVENUE,481A5,PUBLIC STREET NAMES
11041,LUNA,PARK,,LUNA PARK,633A4,LIMITED ACCESS AREA NAMES
5278,LA MONTANA,PL,,LA MONTANA PLACE,560H4,PUBLIC STREET NAMES
5178,LAURELMONT,PL,,LAURELMONT PLACE,593A3,PUBLIC STREET NAMES
5319,LA GRANADA,DR,,LA GRANADA DRIVE,593E3,PUBLIC STREET NAMES
10658,LAUREN,LANE,,LAUREN LANE,592G4,PUBLIC STREET NAMES
5182,LAURELGROVE,AVE,,LAURELGROVE AVENUE,562F3,PUBLIC STREET NAMES
474,LEEDS,AVE,,LEEDS AVENUE,794H5,PRIVATE STREET NAMES
4974,LOCKETT,LANE,,LOCKETT LANE,NA,PUBLIC STREET NAMES
9689,LE CONTE,PL,,LE CONTE PLACE,632A2,UNOFFICIAL PRIVATE STREET NAMES
5154,LAWRENCE,ST,,LAWRENCE STREET,634G7,PUBLIC STREET NAMES
5114,LELIA,LANE,,LELIA LANE,592B4,PUBLIC STREET NAMES
5271,LANDALE,ST,,LANDALE STREET,563A4,PUBLIC STREET NAMES
5208,LA SOMBRA,DR,,LA SOMBRA DRIVE,563D7,PUBLIC STREET NAMES
5061,LIGHTHOUSE,ST,,LIGHTHOUSE STREET,NA,PEDESTRIAN MALL NAMES
482,LATROBE,ST,,LATROBE STREET,595C5,PRIVATE STREET NAMES
5148,LEAGUE,ST,,LEAGUE STREET,532E2,PUBLIC STREET NAMES
10702,LETICIA,PL,,LETICIA PLACE,531G4,PRIVATE STREET NAMES
5060,LIGHTHOUSE,ST,,LIGHTHOUSE STREET,701J1,PUBLIC STREET NAMES
5063,LIGGETT,ST,,LIGGETT STREET,502A6,PUBLIC STREET NAMES
5207,LAS PALMAS,AVE,,LAS PALMAS AVENUE,593E3,PUBLIC STREET NAMES
5348,LA CASTANA,DR,,LA CASTANA DRIVE,593B1,PUBLIC STREET NAMES
5297,LAKE VIEW,TER,EAST,LAKE VIEW TERRACE EAST,594D3,PUBLIC STREET NAMES
4831,LULLABY,LANE,,LULLABY LANE,532A1,PUBLIC STREET NAMES
5240,LARISSA,DR,,LARISSA DRIVE,594C6,PUBLIC STREET NAMES
