Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10146,MELISSA,LANE,,MELISSA LANE,559H1,PRIVATE STREET NAMES
4471,MELHILL,WAY,,MELHILL WAY,631D2,PUBLIC STREET NAMES
4676,MARIGOLD,AVE,,MARIGOLD AVENUE,794A3,PUBLIC STREET NAMES
4766,MAIE,AVE,,MAIE AVENUE,674G7,PUBLIC STREET NAMES
4686,MARGATE,ST,,MARGATE STREET,563B2,PUBLIC STREET NAMES
10390,MARCUS,DR,,MARCUS DRIVE,481A5,PUBLIC STREET NAMES
4724,MANOR,LANE,,MANOR LANE,672B4,PUBLIC STREET NAMES
422,MONT EAGLE,PL,,MONT EAGLE PLACE,594J1,PRIVATE STREET NAMES
4347,MINTO,CT,,MINTO COURT,595E6,PUBLIC STREET NAMES
4645,MARMORA,DR,,MARMORA DRIVE,560C5,PUBLIC STREET NAMES
4172,MURDOCK,AVE,,MURDOCK AVENUE,794H6,PUBLIC STREET NAMES
4462,MELVILLE,AVE,,MELVILLE AVENUE,481B6,PUBLIC STREET NAMES
4314,MOLINO,ST,,MOLINO STREET,634H5,PUBLIC STREET NAMES
4464,MELROSE,PL,,MELROSE PLACE,593A6,PUBLIC STREET NAMES
4536,MCDONIE,AVE,,MCDONIE AVENUE,560D1,PUBLIC STREET NAMES
4628,MARSHALL,DR,,MARSHALL DRIVE,672E5,PUBLIC STREET NAMES
4330,MISSISSIPPI,AVE,,MISSISSIPPI AVENUE,632D4,PUBLIC STREET NAMES
4318,MODJESKA,ST,,MODJESKA STREET,594F4,PUBLIC STREET NAMES
9567,MINI,WAY,,MINI WAY,561F4,PRIVATE STREET NAMES
4377,MILLER,DR,,MILLER DRIVE,592J5,PUBLIC STREET NAMES
4732,MANITOU,PL,,MANITOU PLACE,635C1,PUBLIC STREET NAMES
4461,MELVILLE,PL,,MELVILLE PLACE,481B5,PUBLIC STREET NAMES
4473,MELBOURNE,AVE,,MELBOURNE AVENUE,594A4,PUBLIC STREET NAMES
9614,MARILYN,LANE,,MARILYN LANE,561G4,PRIVATE STREET NAMES
4308,MONETTE,PL,,MONETTE PLACE,633H4,PUBLIC STREET NAMES
4598,MASSELIN,AVE,,MASSELIN AVENUE,633C5,PUBLIC STREET NAMES
4612,MARY,AVE,,MARY AVENUE,704F3,PUBLIC STREET NAMES
4204,MOUNTAIR,AVE,,MOUNTAIR AVENUE,503J2,PUBLIC STREET NAMES
4784,MAESTRO,AVE,,MAESTRO AVENUE,529F3,PUBLIC STREET NAMES
9794,METROPOLITAN,PZ,,METROPOLITAN PLAZA,633B2,PRIVATE STREET NAMES
4388,MILBANK,ST,,MILBANK STREET,562E4,PUBLIC STREET NAMES
4163,MYOSOTIS,ST,,MYOSOTIS STREET,595D1,PUBLIC STREET NAMES
