Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
9923,NORTH POINTE,PL,,NORTH POINTE PLACE,560D1,PUBLIC STREET NAMES
4142,NAPOLEON,ST,,NAPOLEON STREET,702B4,PUBLIC STREET NAMES
4031,NORTH BROADWAY,,,NORTH BROADWAY,635C1,PUBLIC STREET NAMES
9699,NORTH CAYOTE CANYON,ROAD,,NORTH CAYOTE CANYON ROAD,563D5,UNOFFICIAL PRIVATE STREET NAMES
4014,NORTHVALE,ROAD,,NORTHVALE ROAD,632E6,PUBLIC STREET NAMES
4066,NIMES,PL,,NIMES PLACE,592B6,PUBLIC STREET NAMES
4068,NIGHTINGALE,DR,,NIGHTINGALE DRIVE,592H4,PUBLIC STREET NAMES
4013,NORTH VENICE,BLVD,,NORTH VENICE BOULEVARD,672A5,PUBLIC STREET NAMES
4132,NATCHEZ,PL,,NATCHEZ PLACE,824A3,PUBLIC STREET NAMES
4131,NATCHEZ,ST,,NATCHEZ STREET,824A2,PUBLIC STREET NAMES
4107,NEOLA,PL,,NEOLA PLACE,565C6,PUBLIC STREET NAMES
4127,NATOMA,AVE,,NATOMA AVENUE,560D4,PUBLIC STREET NAMES
4034,NORMANDIE,AVE,,NORMANDIE AVENUE,593J3,PUBLIC STREET NAMES
4133,NATALIE,LANE,,NATALIE LANE,529F2,PUBLIC STREET NAMES
4090,NEW ENGLAND,ST,,NEW ENGLAND STREET,634B6,PUBLIC STREET NAMES
4037,NORLINA,PL,,NORLINA PLACE,481B5,PUBLIC STREET NAMES
4024,NORTH HERBERT,AVE,,NORTH HERBERT AVENUE,824A3,PUBLIC STREET NAMES
4032,NORRIS,AVE,,NORRIS AVENUE,481F2,PUBLIC STREET NAMES
4110,NELLA VISTA,AVE,,NELLA VISTA AVENUE,594B2,PUBLIC STREET NAMES
4117,NEBRASKA,AVE,,NEBRASKA AVENUE,632B5,PUBLIC STREET NAMES
4122,NAVARRO,ST,,NAVARRO STREET,595E6,PUBLIC STREET NAMES
4134,NASSAU,AVE,,NASSAU AVENUE,503G2,PUBLIC STREET NAMES
4061,NITA,AVE,,NITA AVENUE,499J5,PUBLIC STREET NAMES
4138,NARDIAN,WAY,,NARDIAN WAY,702E2,PUBLIC STREET NAMES
4155,NADINA,ST,,NADINA STREET,503B1,PUBLIC STREET NAMES
4007,NORWICH,AVE,,NORWICH AVENUE,595G6,PUBLIC STREET NAMES
4064,NIMROD,PL,,NIMROD PLACE,631E4,PUBLIC STREET NAMES
4137,NARVA,ST,,NARVA STREET,635A2,PUBLIC STREET NAMES
4100,NEVA,PL,,NEVA PLACE,595D1,PUBLIC STREET NAMES
392,NOMAD,DR,,NOMAD DRIVE,560E3,PRIVATE STREET NAMES
4145,NAOMI,AVE,,NAOMI AVENUE,674E2,PUBLIC STREET NAMES
