Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
3962,OAKLAWN,ROAD,,OAKLAWN ROAD,632E6,PUBLIC STREET NAMES
3929,OCEAN FRONT,WALK,,OCEAN FRONT WALK,671G5,PUBLIC STREET NAMES
3928,OCEANO,DR,,OCEANO DRIVE,631G4,PUBLIC STREET NAMES
3793,OVERING,DR,,OVERING DRIVE,559E3,PUBLIC STREET NAMES
3795,OVADA,PL,,OVADA PLACE,631H1,PUBLIC STREET NAMES
3846,ORILLA,AVE,,ORILLA AVENUE,564G6,PUBLIC STREET NAMES
3931,OCEAN,CT,,OCEAN COURT,671H6,PUBLIC STREET NAMES
3803,OUTLAND VIEW,DR,,OUTLAND VIEW DRIVE,533B1,PUBLIC STREET NAMES
10121,OAK VIEW,CT,,OAK VIEW COURT,561D4,PRIVATE STREET NAMES
3968,OAK HILL,AVE,,OAK HILL AVENUE,595D6,PUBLIC STREET NAMES
10870,OLIVE,LANE,,OLIVE LANE,481H2,PRIVATE ROADWAY NAMES
3901,OLDEN,ST,,OLDEN STREET,481F3,PUBLIC STREET NAMES
3857,ORANGE,PL,,ORANGE PLACE,673B2,PUBLIC STREET NAMES
3906,OLAF,PL,,OLAF PLACE,481B5,PUBLIC STREET NAMES
3881,OLIVOS,DR,,OLIVOS DRIVE,560G4,PUBLIC STREET NAMES
3807,OTSEGO,CT,,OTSEGO COURT,561D3,PUBLIC STREET NAMES
3849,OREGON,ST,,OREGON STREET,635B6,PUBLIC STREET NAMES
3868,O'NEIL,ST,,O'NEIL STREET,595D7,PUBLIC STREET NAMES
3882,OLIVIA,TER,,OLIVIA TERRACE,533C2,PUBLIC STREET NAMES
3939,OBECK,AVE,,OBECK AVENUE,502A4,PUBLIC STREET NAMES
3886,OLIVE GROVE,PL,,OLIVE GROVE PLACE,503E3,PUBLIC STREET NAMES
3809,OTERO,DR,,OTERO DRIVE,595D7,PUBLIC STREET NAMES
3921,OCTAGON,ST,,OCTAGON STREET,631F1,PUBLIC STREET NAMES
10322,ORBITAL,WAY,,ORBITAL WAY,502E3,PRIVATE ROADWAY NAMES
3844,ORIOLE,LANE,,ORIOLE LANE,592H4,PUBLIC STREET NAMES
10304,OAKHURST,WAY,,OAKHURST WAY,480E7,PRIVATE STREET NAMES
10858,OLIVE,PL,,OLIVE PLACE,481J4,PRIVATE ROADWAY NAMES
3825,ORTON,AVE,,ORTON AVENUE,632E4,PUBLIC STREET NAMES
3787,OWENSMOUTH,AVE,,OWENSMOUTH AVENUE,500A2,PUBLIC STREET NAMES
