Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
3614,PEARSON,PL,,PEARSON PLACE,503D3,PUBLIC STREET NAMES
3463,POTOMAC,AVE,,POTOMAC AVENUE,633D7,PUBLIC STREET NAMES
9816,PIEDRA MORADA,DR,,PIEDRA MORADA DRIVE,630G2,PUBLIC STREET NAMES
3709,PARCHER,TR,,PARCHER TRAIL,504A5,PUBLIC STREET NAMES
9998,PINE VALLEY,WAY,,PINE VALLEY WAY,480E7,PRIVATE STREET NAMES
3559,PHILO,ST,,PHILO STREET,42B5,PUBLIC STREET NAMES
3535,PINE VALLEY,PL,,PINE VALLEY PLACE,480F7,PUBLIC STREET NAMES
3570,PETERSON,AVE,,PETERSON AVENUE,529E6,PUBLIC STREET NAMES
3691,PARK LANE,PL,,PARK LANE PLACE,561E7,PUBLIC STREET NAMES
10995,PASEO LOMASO,,,PASEO LOMASO,500D2,PRIVATE ROADWAY NAMES
9711,PUERTA DEL SOL,,,PUERTA DEL SOL,823G7,UNOFFICIAL PRIVATE STREET NAMES
3513,PLAZA DEL AMO,,,PLAZA DEL AMO,794A1,PUBLIC STREET NAMES
10329,PROMENADE MALL,DRWY,,PROMENADE MALL DRIVEWAY,530A7,PRIVATE ROADWAY NAMES
10919,PINE ORCHARD,ST,,PINE ORCHARD STREET,502E5,PRIVATE ROADWAY NAMES
3525,PISA,PL,,PISA PLACE,823H5,PUBLIC STREET NAMES
3519,PLAINVIEW,AVE,,PLAINVIEW AVENUE,503H2,PUBLIC STREET NAMES
3546,PILGRIMAGE,TR,,PILGRIMAGE TRAIL,593E2,PUBLIC STREET NAMES
333,PASEO DE SANTA YNEZ,,,PASEO DE SANTA YNEZ,630F1,PRIVATE STREET NAMES
319,PECAN,ST,,PECAN STREET,634J5,PRIVATE STREET NAMES
10998,PASEO DEL CIELO,,,PASEO DEL CIELO,500D2,PRIVATE ROADWAY NAMES
3730,PALOMAR,DR,,PALOMAR DRIVE,560G4,PUBLIC STREET NAMES
3624,PAUMA VALLEY,DR,,PAUMA VALLEY DRIVE,500F1,PUBLIC STREET NAMES
3702,PARK,PL,,PARK PLACE,671G5,PUBLIC STREET NAMES
10913,PASEO DEL TRANQUILO,,,PASEO DEL TRANQUILO,481J5,LIMITED ACCESS AREA NAMES
3453,PREBLE,AVE,,PREBLE AVENUE,794H6,PUBLIC STREET NAMES
3751,PALI,AVE,,PALI AVENUE,504C5,PUBLIC STREET NAMES
349,PASEO DE LA LORA,,,PASEO DE LA LORA,630F2,PRIVATE STREET NAMES
3682,PARK VIEW,ST,,PARK VIEW STREET,634C1,PUBLIC STREET NAMES
10809,PASEO AZUL,,,PASEO AZUL,500D1,PRIVATE ROADWAY NAMES
3584,PERCIVAL,PL,,PERCIVAL PLACE,593A3,PUBLIC STREET NAMES
3558,PHOENIX,ST,,PHOENIX STREET,594H7,PUBLIC STREET NAMES
9920,PALOMINO,CT,,PALOMINO COURT,503B2,PRIVATE STREET NAMES
9709,PROMENADE,,,PROMENADE,NA,UNOFFICIAL PRIVATE STREET NAMES
9869,PAIUTE,AVE,,PAIUTE AVENUE,499J1,PRIVATE STREET NAMES
312,PLUMMER,ST,,PLUMMER STREET,500G6,PRIVATE STREET NAMES
3480,POPPY PEAK,WALK,,POPPY PEAK WALK,565D7,PUBLIC STREET NAMES
3586,PERA,ROAD,,PERA ROAD,559H4,PUBLIC STREET NAMES
3599,PENDLETON,ST,,PENDLETON STREET,503A6,PUBLIC STREET NAMES
3719,PANAMINT,ST,,PANAMINT STREET,594H1,PUBLIC STREET NAMES
3766,PADILLA,PL,,PADILLA PLACE,673B3,PUBLIC STREET NAMES
3466,POSETANO,ROAD,,POSETANO ROAD,630F6,PUBLIC STREET NAMES
342,PASEO DE LA SUERTE,,,PASEO DE LA SUERTE,630F1,PRIVATE STREET NAMES
3763,PADUA,PL,,PADUA PLACE,671J5,PUBLIC STREET NAMES
3499,POLK,ST,,POLK STREET,482C1,PUBLIC STREET NAMES
3612,PEAVINE,DR,,PEAVINE DRIVE,592D4,PUBLIC STREET NAMES
352,PASEO BRILLANTE,,,PASEO BRILLANTE,630F2,PRIVATE STREET NAMES
10994,PASEO LOS ARCOS,,,PASEO LOS ARCOS,500D2,PRIVATE ROADWAY NAMES
10407,PLAZA,PKWY,,PLAZA PARKWAY,563A6,PRIVATE ROADWAY NAMES
353,PASEO ANTIGUO,,,PASEO ANTIGUO,630F2,PRIVATE STREET NAMES
326,PASEO MALAGUENA,,,PASEO MALAGUENA,630F1,PRIVATE STREET NAMES
3687,PARK OAK,DR,,PARK OAK DRIVE,593G2,PUBLIC STREET NAMES
3695,PARK HEIGHTS,TER,,PARK HEIGHTS TERRACE,635B1,PUBLIC STREET NAMES
3765,PADRE,LANE,,PADRE LANE,593A3,PUBLIC STREET NAMES
3597,PENMAR,AVE,,PENMAR AVENUE,671J3,PUBLIC STREET NAMES
3536,PINE VALLEY,AVE,,PINE VALLEY AVENUE,480F7,PUBLIC STREET NAMES
3436,PRINCE,ST,,PRINCE STREET,635C1,PUBLIC STREET NAMES
3428,PROCTOR,ST,,PROCTOR STREET,794F4,PUBLIC STREET NAMES
3718,PANDORA,AVE,,PANDORA AVENUE,632D3,PUBLIC STREET NAMES
3575,PERUGIA,WAY,,PERUGIA WAY,592A7,PUBLIC STREET NAMES
3621,PAXTON,ST,,PAXTON STREET,482E7,PUBLIC STREET NAMES
3467,PORTO MARINA,WAY,,PORTO MARINA WAY,630F6,PUBLIC STREET NAMES
3482,POPPY,ST,,POPPY STREET,565D7,PUBLIC STREET NAMES
3764,PADRE,TER,,PADRE TERRACE,593E3,PUBLIC STREET NAMES
3432,PRISMO,DR,,PRISMO DRIVE,564H7,PUBLIC STREET NAMES
