Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
3268,RELIANCE,ST,,RELIANCE STREET,502D7,PUBLIC STREET NAMES
3349,RAMONA,BLVD,,RAMONA BOULEVARD,597H6,PUBLIC STREET NAMES
3138,ROCKFORD,ROAD,,ROCKFORD ROAD,594D5,PUBLIC STREET NAMES
299,REGAN,ST,,REGAN STREET,824C3,PRIVATE STREET NAMES
3225,RICHARD,DR,,RICHARD DRIVE,595F4,PUBLIC STREET NAMES
3020,ROXFORD,ST,,ROXFORD STREET,481F2,PUBLIC STREET NAMES
3070,ROSECRANS,AVE,,ROSECRANS AVENUE,734C3,PUBLIC STREET NAMES
3319,RAVINE,ROAD,,RAVINE ROAD,594E5,PUBLIC STREET NAMES
3092,RONAN,AVE,,RONAN AVENUE,794D1,PUBLIC STREET NAMES
3229,RICARDO,ST,,RICARDO STREET,635C3,PUBLIC STREET NAMES
3231,RIALTO,CT,,RIALTO COURT,671J5,PUBLIC STREET NAMES
3296,RED OAK,DR,,RED OAK DRIVE,593H2,PUBLIC STREET NAMES
3071,ROSEBUD,AVE,,ROSEBUD AVENUE,594F4,PUBLIC STREET NAMES
295,RICHELIEU,TER,,RICHELIEU TERRACE,595D7,PRIVATE STREET NAMES
3185,RIOS,ST,,RIOS STREET,560B5,PUBLIC STREET NAMES
3003,ROYALTON,PL,,ROYALTON PLACE,592F3,PUBLIC STREET NAMES
3034,ROUND,DR,,ROUND DRIVE,595F7,PUBLIC STREET NAMES
3064,ROSELIN,PL,,ROSELIN PLACE,594E4,PUBLIC STREET NAMES
3207,RIDGEVIEW,AVE,,RIDGEVIEW AVENUE,564J7,PUBLIC STREET NAMES
3281,REEVESBURY,DR,,REEVESBURY DRIVE,592B3,PUBLIC STREET NAMES
3248,REVERE,AVE,,REVERE AVENUE,564D1,PUBLIC STREET NAMES
3332,RANGE,ROAD,,RANGE ROAD,564J7,PUBLIC STREET NAMES
3159,ROBIDOUX,ST,,ROBIDOUX STREET,794G5,PUBLIC STREET NAMES
10940,RUNNYMEDE,ST,,RUNNYMEDE STREET,529G4,PRIVATE STREET NAMES
3163,ROBERTA,ST,,ROBERTA STREET,595C6,PUBLIC STREET NAMES
10028,ROCK HAMPTON,DR,,ROCK HAMPTON DRIVE,560J5,PRIVATE STREET NAMES
3154,ROBLAR,PL,,ROBLAR PLACE,562A5,PUBLIC STREET NAMES
10904,RELAX,LANE,,RELAX LANE,502F1,LIMITED ACCESS AREA NAMES
3079,ROSANNA,ST,,ROSANNA STREET,594F3,PUBLIC STREET NAMES
3019,ROXTON,AVE,,ROXTON AVENUE,673G2,PUBLIC STREET NAMES
10195,RANCHO DEL VALLE,,,RANCHO DEL VALLE,501A1,PRIVATE STREET NAMES
3211,RIDGEMONT,DR,,RIDGEMONT DRIVE,592H3,PUBLIC STREET NAMES
3161,ROBERTSON,BLVD,,ROBERTSON BOULEVARD,632H2,PUBLIC STREET NAMES
3055,ROSEWOOD,AVE,,ROSEWOOD AVENUE,672A3,PUBLIC STREET NAMES
3244,REXBON,ROAD,,REXBON ROAD,481A7,PUBLIC STREET NAMES
2986,RUSSELL,AVE,,RUSSELL AVENUE,594A3,PUBLIC STREET NAMES
3013,ROYAL HILLS,DR,,ROYAL HILLS DRIVE,561E7,PUBLIC STREET NAMES
3170,RIVER VIEW,ST,,RIVER VIEW STREET,NA,PUBLIC STREET NAMES
3238,RHINESTONE,DR,,RHINESTONE DRIVE,561J6,PUBLIC STREET NAMES
3033,ROUND TOP,DR,,ROUND TOP DRIVE,564J6,PUBLIC STREET NAMES
3254,REPUBLIC,ST,,REPUBLIC STREET,634G3,PUBLIC STREET NAMES
9713,RANDALL,ST,,RANDALL STREET,503A6,UNOFFICIAL PRIVATE STREET NAMES
3220,RICHELIEU,TER,,RICHELIEU TERRACE,595D7,PUBLIC STREET NAMES
3262,REMY,AVE,,REMY AVENUE,530D2,PUBLIC STREET NAMES
3155,ROBINWOOD,DR,,ROBINWOOD DRIVE,631F2,PUBLIC STREET NAMES
3111,ROLAND,WALK,,ROLAND WALK,633B3,PUBLIC STREET NAMES
3344,RANCH,LANE,,RANCH LANE,631B5,PUBLIC STREET NAMES
3295,REDONDO,BLVD,,REDONDO BOULEVARD,703E1,PUBLIC STREET NAMES
3353,RALSTON,AVE,,RALSTON AVENUE,502H6,PUBLIC STREET NAMES
3323,RATNER,ST,,RATNER STREET,532G2,PUBLIC STREET NAMES
3067,ROSELAKE,AVE,,ROSELAKE AVENUE,634C1,PUBLIC STREET NAMES
9810,RAINTREE,LANE,,RAINTREE LANE,500H4,PRIVATE STREET NAMES
10179,RODS,WAY,,RODS WAY,482D6,PRIVATE STREET NAMES
3199,RIM CANYON,ROAD,,RIM CANYON ROAD,503H1,PUBLIC STREET NAMES
3165,ROBERT,AVE,,ROBERT AVENUE,533A1,PUBLIC STREET NAMES
3054,ROSILLA,PL,,ROSILLA PLACE,592H3,PUBLIC STREET NAMES
3094,ROMULO,ST,,ROMULO STREET,594J5,PUBLIC STREET NAMES
296,RHODES,AVE,,RHODES AVENUE,562F3,PRIVATE STREET NAMES
10159,ROMERO,PL,,ROMERO PLACE,501H6,PRIVATE ROADWAY NAMES
3331,RANGE VIEW,AVE,,RANGE VIEW AVENUE,595C1,PUBLIC STREET NAMES
3348,RAMOS,PL,,RAMOS PLACE,631B7,PUBLIC STREET NAMES
3136,ROCKINGHAM,AVE,,ROCKINGHAM AVENUE,631E3,PUBLIC STREET NAMES
3032,ROUNDUP,TR,,ROUNDUP TRAIL,NA,PUBLIC STREET NAMES
3100,ROMAR,ST,,ROMAR STREET,501H4,PUBLIC STREET NAMES
3017,ROYAL,CT,,ROYAL COURT,671G5,PUBLIC STREET NAMES
3276,REGAL VISTA,DR,,REGAL VISTA DRIVE,561G6,PUBLIC STREET NAMES
3195,RINALDI,PL,,RINALDI PLACE,500J1,PUBLIC STREET NAMES
10890,ROCK ROW,DR,,ROCK ROW DRIVE,565B6,LIMITED ACCESS AREA NAMES
3285,REEF,ST,,REEF STREET,701J1,PUBLIC STREET NAMES
2970,RYE,ST,,RYE STREET,562J4,PUBLIC STREET NAMES
3351,RAMIREZ,ST,,RAMIREZ STREET,634H3,PUBLIC STREET NAMES
3341,RANCHO CABALLO,DR,,RANCHO CABALLO DRIVE,503C4,PUBLIC STREET NAMES
9977,RAVENSFIELD,LANE,,RAVENSFIELD LANE,591G3,PRIVATE STREET NAMES
2983,RUSTIC,DR,,RUSTIC DRIVE,595A3,PUBLIC STREET NAMES
3108,ROLLE,ST,,ROLLE STREET,595B6,PUBLIC STREET NAMES
3156,ROBINSON,ST,,ROBINSON STREET,594B7,PUBLIC STREET NAMES
3247,REVERIE,ROAD,,REVERIE ROAD,504A5,PUBLIC STREET NAMES
3212,RIDGELEY,DR,,RIDGELEY DRIVE,633C2,PUBLIC STREET NAMES
3322,RAVEN,ST,,RAVEN STREET,482C2,PUBLIC STREET NAMES
3260,RENFREW,ROAD,,RENFREW ROAD,631F2,PUBLIC STREET NAMES
3063,ROSE MARIE,LANE,,ROSE MARIE LANE,631G3,PUBLIC STREET NAMES
284,RIVERSIDE,PL,,RIVERSIDE PLACE,594E4,PRIVATE STREET NAMES
3026,ROXANNE,AVE,,ROXANNE AVENUE,673D2,PUBLIC STREET NAMES
3201,RIGGS,PL,,RIGGS PLACE,672G7,PUBLIC STREET NAMES
282,RIVKIND,LANE,,RIVKIND LANE,503C3,PRIVATE STREET NAMES
3339,RAND,DR,,RAND DRIVE,562C6,PUBLIC STREET NAMES
3125,RODAX,ST,,RODAX STREET,530C2,PUBLIC STREET NAMES
3050,ROSLYNDALE,CT,,ROSLYNDALE COURT,502A5,PUBLIC STREET NAMES
3315,RAY,CT,,RAY COURT,565C6,PUBLIC STREET NAMES
10646,RIVERROCK,DR,,RIVERROCK DRIVE,794A5,PRIVATE ROADWAY NAMES
3166,ROBALO,AVE,,ROBALO AVENUE,823H7,PUBLIC STREET NAMES
10094,RUTHERFORD HILL,DR,,RUTHERFORD HILL DRIVE,529E4,PUBLIC STREET NAMES
3118,RODGERTON,DR,,RODGERTON DRIVE,593F1,PUBLIC STREET NAMES
3053,ROSITA,PL,,ROSITA PLACE,560G4,PUBLIC STREET NAMES
3290,REDWOOD,AVE,,REDWOOD AVENUE,672B5,PUBLIC STREET NAMES
3102,ROMANY,DR,,ROMANY DRIVE,631C4,PUBLIC STREET NAMES
3272,REGINA,CT,,REGINA COURT,704B3,PUBLIC STREET NAMES
3194,RINALDI,ST,,RINALDI STREET,501G1,PUBLIC STREET NAMES
3042,ROSSMORE,AVE,,ROSSMORE AVENUE,633F2,PUBLIC STREET NAMES
3109,ROLLAND CURTIS,PL,,ROLLAND CURTIS PLACE,674A2,PUBLIC STREET NAMES
3160,ROBERTSON,PL,,ROBERTSON PLACE,632H6,PUBLIC STREET NAMES
3316,RAYBET,ROAD,,RAYBET ROAD,592A1,PUBLIC STREET NAMES
3135,ROCKLAND,AVE,,ROCKLAND AVENUE,565A6,PUBLIC STREET NAMES
3346,RAMSGATE,AVE,,RAMSGATE AVENUE,703A1,PUBLIC STREET NAMES
