Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
2523,SPRING,ST,,SPRING STREET,634H2,PUBLIC STREET NAMES
9621,SHADOW MOUNTAIN,DR,,SHADOW MOUNTAIN DRIVE,630H3,PRIVATE STREET NAMES
2630,SIDLEE,PL,,SIDLEE PLACE,794A2,PUBLIC STREET NAMES
224,SOLANO CANYON,DR,,SOLANO CANYON DRIVE,594G6,PRIVATE STREET NAMES
2587,SISTER ELSIE,DR,,SISTER ELSIE DRIVE,504C4,PUBLIC STREET NAMES
2472,STEPHEN,LANE,,STEPHEN LANE,529F2,PUBLIC STREET NAMES
2391,SUNBROOK,DR,,SUNBROOK DRIVE,592C5,PUBLIC STREET NAMES
2681,SHELLY VISTA,DR,,SHELLY VISTA DRIVE,503J1,PUBLIC STREET NAMES
2936,SAINT SUSAN,PL,,SAINT SUSAN PLACE,672C2,PUBLIC STREET NAMES
2318,SWALLOW,DR,,SWALLOW DRIVE,592H3,PUBLIC STREET NAMES
2636,SHOUP,AVE,,SHOUP AVENUE,529J7,PUBLIC STREET NAMES
2419,STROHM,AVE,,STROHM AVENUE,563B3,PUBLIC STREET NAMES
2638,SHORT,WAY,,SHORT WAY,595E3,PUBLIC STREET NAMES
2499,STANMOOR,DR,,STANMOOR DRIVE,702D3,PUBLIC STREET NAMES
2860,SAN RAFAEL,AVE,,SAN RAFAEL AVENUE,564D3,PUBLIC STREET NAMES
2714,SHADY,DR,,SHADY DRIVE,631F4,PUBLIC STREET NAMES
10062,SYCAMORE,TER,,SYCAMORE TERRACE,595B3,PUBLIC STREET NAMES
2431,STRADELLA,CT,,STRADELLA COURT,591J5,PUBLIC STREET NAMES
10770,SHADY PALMS,LANE,,SHADY PALMS LANE,482C4,PRIVATE ROADWAY NAMES
2953,ST CLAIR,AVE,,ST CLAIR AVENUE,532F7,PUBLIC STREET NAMES
2937,SAINT PIERRE,ROAD,,SAINT PIERRE ROAD,592B6,PUBLIC STREET NAMES
10749,SAGEBROOK,ROAD,,SAGEBROOK ROAD,499J3,PRIVATE STREET NAMES
2609,SILVER LAKE,BLVD,,SILVER LAKE BOULEVARD,594E3,PUBLIC STREET NAMES
2703,SHAMROCK,PL,,SHAMROCK PLACE,500D3,PUBLIC STREET NAMES
2757,SELKIRK,LANE,,SELKIRK LANE,592A3,PUBLIC STREET NAMES
10064,SUNRISE HILL,DR,,SUNRISE HILL DRIVE,591F4,PRIVATE ROADWAY NAMES
2527,SPOKANE,ST,,SPOKANE STREET,633A7,PUBLIC STREET NAMES
2601,SILVERWOOD,DR,,SILVERWOOD DRIVE,565B7,PUBLIC STREET NAMES
2347,SUNSET PLAZA,PL,,SUNSET PLAZA PLACE,592J4,PUBLIC STREET NAMES
2921,SALTAIR,TER,,SALTAIR TERRACE,631G4,PUBLIC STREET NAMES
2839,SANTA SUSANNA,PL,,SANTA SUSANNA PLACE,500A7,PUBLIC STREET NAMES
208,STRADA VECCHIA,ROAD,,STRADA VECCHIA ROAD,592A6,PRIVATE STREET NAMES
9596,SEDGEWICK,CT,,SEDGEWICK COURT,529D4,PUBLIC STREET NAMES
2813,SAUSALITO,AVE,,SAUSALITO AVENUE,529J2,PUBLIC STREET NAMES
2817,SATICOY,ST,SOUTH,SATICOY STREET SOUTH,532E4,PUBLIC STREET NAMES
2743,SEPTO,ST,,SEPTO STREET,501D5,PUBLIC STREET NAMES
9972,SUNGLOW,WAY,,SUNGLOW WAY,503C7,PUBLIC STREET NAMES
9978,SHERINGHAM,LANE,,SHERINGHAM LANE,591G3,PRIVATE STREET NAMES
2717,SHADOW ISLAND,DR,,SHADOW ISLAND DRIVE,503C5,PUBLIC STREET NAMES
2834,SAN VICENTE,BLVD,,SAN VICENTE BOULEVARD,633E4,PUBLIC STREET NAMES
2378,SUNLAND,WAY,,SUNLAND WAY,503D4,PUBLIC STREET NAMES
9844,STORM,PKWY,,STORM PARKWAY,794A1,PUBLIC STREET NAMES
2926,SALISBURY,ROAD,,SALISBURY ROAD,529D5,PUBLIC STREET NAMES
9864,SIERRA PASS,PL,,SIERRA PASS PLACE,499J2,PRIVATE STREET NAMES
2553,SONOMA,WAY,,SONOMA WAY,480F6,PUBLIC STREET NAMES
2862,SAN PEDRO,ST,,SAN PEDRO STREET,NA,PUBLIC STREET NAMES
2876,SANLO,PL,,SANLO PLACE,560D3,PUBLIC STREET NAMES
10296,SILVER OAKS,DR,,SILVER OAKS DRIVE,481E2,PUBLIC STREET NAMES
2394,SUMTER,DR,,SUMTER DRIVE,595D2,PUBLIC STREET NAMES
2904,SANDAL,LANE,,SANDAL LANE,592A4,PUBLIC STREET NAMES
2590,SINGING HILLS,DR,,SINGING HILLS DRIVE,500F1,PUBLIC STREET NAMES
2674,SHERBOURNE,DR,,SHERBOURNE DRIVE,632J7,PUBLIC STREET NAMES
2537,SPAULDING,AVE,,SPAULDING AVENUE,593B5,PUBLIC STREET NAMES
2735,SEQUOIA,ST,,SEQUOIA STREET,564C6,PUBLIC STREET NAMES
2359,SUNRISE,ST,,SUNRISE STREET,635B7,PUBLIC STREET NAMES
10027,SILVER HAWK,LANE,,SILVER HAWK LANE,560J6,PRIVATE STREET NAMES
2468,STERRY,ST,,STERRY STREET,NA,PUBLIC STREET NAMES
2437,STONEY HILL,ROAD,,STONEY HILL ROAD,NA,PUBLIC STREET NAMES
213,STAUNTON,AVE,,STAUNTON AVENUE,674G4,PRIVATE STREET NAMES
9903,SCHOLL CANYON,ROAD,,SCHOLL CANYON ROAD,565D5,PUBLIC STREET NAMES
2752,SEMRAD,ROAD,,SEMRAD ROAD,529E5,PUBLIC STREET NAMES
2782,SCOVILLE,AVE,,SCOVILLE AVENUE,503G2,PUBLIC STREET NAMES
10771,SILVER PALMS,LANE,,SILVER PALMS LANE,482C4,PRIVATE ROADWAY NAMES
2632,SHURTLEFF,CT,,SHURTLEFF COURT,595A5,PUBLIC STREET NAMES
2502,STANLEY,AVE,,STANLEY AVENUE,564G4,PUBLIC STREET NAMES
2918,SALT LAKE,PL,,SALT LAKE PLACE,500G2,PUBLIC STREET NAMES
2570,SMILEY,DR,,SMILEY DRIVE,633B7,PUBLIC STREET NAMES
2809,SAVOY,ST,,SAVOY STREET,634H1,PUBLIC STREET NAMES
2867,SAN ONOFRE,DR,,SAN ONOFRE DRIVE,631D3,PUBLIC STREET NAMES
258,SARDINE,ST,,SARDINE STREET,824E5,PRIVATE STREET NAMES
241,SHADY OAK,ROAD,,SHADY OAK ROAD,562F6,PRIVATE STREET NAMES
2687,SHELBY,DR,,SHELBY DRIVE,632G7,PUBLIC STREET NAMES
2759,SELDNER,ST,,SELDNER STREET,635E2,PUBLIC STREET NAMES
2789,SCOTLAND,ST,,SCOTLAND STREET,594C4,PUBLIC STREET NAMES
