Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
2221,TEXAS,AVE,,TEXAS AVENUE,631J5,PUBLIC STREET NAMES
10725,TORI,CT,,TORI COURT,502A2,PRIVATE STREET NAMES
2167,TIVERTON,AVE,,TIVERTON AVENUE,632B2,PUBLIC STREET NAMES
2279,TARO,WAY,,TARO WAY,592A6,PUBLIC STREET NAMES
2111,TRACTION,AVE,,TRACTION AVENUE,634H5,PUBLIC STREET NAMES
10545,TUNDRA,DR,,TUNDRA DRIVE,481J6,PRIVATE ROADWAY NAMES
2141,TOPHAM,ST,,TOPHAM STREET,531A7,PUBLIC STREET NAMES
2296,TAHOE,PL,,TAHOE PLACE,563E7,PUBLIC STREET NAMES
2153,TOLUCA,ROAD,,TOLUCA ROAD,563B5,PUBLIC STREET NAMES
190,TEMESCAL CANYON,ROAD,,TEMESCAL CANYON ROAD,631A4,PRIVATE STREET NAMES
2045,TUPELO,LANE,,TUPELO LANE,592A3,PUBLIC STREET NAMES
2103,TRASK,AVE,,TRASK AVENUE,702B3,PUBLIC STREET NAMES
10517,TERRAFINA,ST,,TERRAFINA STREET,480J6,PRIVATE STREET NAMES
2142,TOPEKA,DR,,TOPEKA DRIVE,500G2,PUBLIC STREET NAMES
180,TROY,DR,,TROY DRIVE,24A5,PRIVATE STREET NAMES
9733,TERRACE,PL,,TERRACE PLACE,630J6,UNOFFICIAL PRIVATE STREET NAMES
2297,TAHOE,DR,,TAHOE DRIVE,563F7,PUBLIC STREET NAMES
2146,TOOMEY,PL,,TOOMEY PLACE,794A2,PUBLIC STREET NAMES
185,TOLUCA ESTATES,DR,,TOLUCA ESTATES DRIVE,563B5,PRIVATE STREET NAMES
2197,THRASHER,AVE,,THRASHER AVENUE,592H4,PUBLIC STREET NAMES
2208,THERMO,ST,,THERMO STREET,672B2,PUBLIC STREET NAMES
10773,TWIN PALMS,LANE,,TWIN PALMS LANE,482C4,PRIVATE ROADWAY NAMES
2209,THERESA,ST,,THERESA STREET,595A5,PUBLIC STREET NAMES
2025,TWO TREE,AVE,,TWO TREE AVENUE,595B7,PUBLIC STREET NAMES
10619,TERRA VISTA,WAY,,TERRA VISTA WAY,482G7,PUBLIC STREET NAMES
2076,TROPICAL,DR,,TROPICAL DRIVE,562J6,PUBLIC STREET NAMES
186,THIMBLE,LANE,,THIMBLE LANE,NA,PRIVATE STREET NAMES
2102,TRAVIS,ST,,TRAVIS STREET,631F1,PUBLIC STREET NAMES
2244,TERECITA,PL,,TERECITA PLACE,504A2,PUBLIC STREET NAMES
2148,TONOPAH,ST,,TONOPAH STREET,502E7,PUBLIC STREET NAMES
2062,TUALLITAN,ROAD,,TUALLITAN ROAD,631F2,PUBLIC STREET NAMES
2184,TIGERTAIL,ROAD,,TIGERTAIL ROAD,591E7,PUBLIC STREET NAMES
2029,TWIN HILLS,PL,,TWIN HILLS PLACE,500G1,PUBLIC STREET NAMES
2160,TOLAND,AVE,,TOLAND AVENUE,702J2,PUBLIC STREET NAMES
2178,TIMBER RIDGE,DR,,TIMBER RIDGE DRIVE,481C3,PUBLIC STREET NAMES
2061,TUBA,ST,,TUBA STREET,501J4,PUBLIC STREET NAMES
2300,TACUBA,ST,,TACUBA STREET,594J3,PUBLIC STREET NAMES
