Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
2013,UNION,AVE,,UNION AVENUE,634D2,PUBLIC STREET NAMES
2002,UPPERTON,PL,,UPPERTON PLACE,565C7,PUBLIC STREET NAMES
2007,UNIVERSAL,PL,,UNIVERSAL PLACE,563B6,PUBLIC STREET NAMES
174,UPPER KRESS,ST,,UPPER KRESS STREET,592J3,PRIVATE STREET NAMES
2012,UNION,DR,,UNION DRIVE,634D3,PUBLIC STREET NAMES
10851,UNIVERSAL STUDIOS,BLVD,,UNIVERSAL STUDIOS BOULEVARD,563C7,PUBLIC STREET NAMES
171,UTICA,TER,,UTICA TERRACE,NA,PRIVATE STREET NAMES
9737,UNIVERSAL CENTER,DR,,UNIVERSAL CENTER DRIVE,NA,UNOFFICIAL PRIVATE STREET NAMES
1995,UTICA,DR,,UTICA DRIVE,593A3,PUBLIC STREET NAMES
10202,U.C.L.A. MEDICAL,PZ,,U.C.L.A. MEDICAL PLAZA,632A2,LIMITED ACCESS AREA NAMES
2000,UPTON,PL,,UPTON PLACE,565C5,PUBLIC STREET NAMES
2019,UDELL,CT,,UDELL COURT,594C4,PUBLIC STREET NAMES
9989,USS OGDEN,CT,,USS OGDEN COURT,794A6,UNOFFICIAL PRIVATE STREET NAMES
2014,UMEO,ROAD,,UMEO ROAD,631D3,PUBLIC STREET NAMES
2004,UPPER MESA,ROAD,,UPPER MESA ROAD,631B7,PUBLIC STREET NAMES
2001,UPTON,CT,,UPTON COURT,565C5,PUBLIC STREET NAMES
1999,URBANA,AVE,,URBANA AVENUE,502B6,PUBLIC STREET NAMES
2009,UNION PACIFIC,AVE,,UNION PACIFIC AVENUE,675A1,PUBLIC STREET NAMES
9739,UNIVERSITY,DR,,UNIVERSITY DRIVE,NA,UNOFFICIAL PRIVATE STREET NAMES
9990,USS PRAIRIE,CT,,USS PRAIRIE COURT,794A6,UNOFFICIAL PRIVATE STREET NAMES
1998,URLAN,LANE,,URLAN LANE,NA,PUBLIC STREET NAMES
9988,USS DUNCUN,CT,,USS DUNCUN COURT,794A7,UNOFFICIAL PRIVATE STREET NAMES
10144,UNION JACK,MALL,,UNION JACK MALL,701J2,PEDESTRIAN MALL NAMES
175,UNIVERSAL,PL,,UNIVERSAL PLACE,563B6,PRIVATE STREET NAMES
2006,UNIVERSITY,AVE,,UNIVERSITY AVENUE,634B7,PUBLIC STREET NAMES
10422,USC PARDEE,WAY,,USC PARDEE WAY,674B1,PRIVATE ROADWAY NAMES
2010,UNION JACK,ST,,UNION JACK STREET,701J2,PUBLIC STREET NAMES
9985,USS ANTIEAM,ST,,USS ANTIEAM STREET,793J6,UNOFFICIAL PRIVATE STREET NAMES
1994,UTOPIA,AVE,,UTOPIA AVENUE,672E5,PUBLIC STREET NAMES
10848,UNIVERSAL CENTER,DR,,UNIVERSAL CENTER DRIVE,NA,PUBLIC STREET NAMES
2018,UDINE,WAY,,UDINE WAY,632B1,PUBLIC STREET NAMES
9738,UNIVERSAL TERRACE,PKWY,,UNIVERSAL TERRACE PARKWAY,NA,UNOFFICIAL PRIVATE STREET NAMES
2003,UPPERTON,AVE,,UPPERTON AVENUE,565C7,PUBLIC STREET NAMES
1997,URSULA,AVE,,URSULA AVENUE,673C2,PUBLIC STREET NAMES
9987,USS MISSOURI,ST,,USS MISSOURI STREET,794A7,UNOFFICIAL PRIVATE STREET NAMES
9991,USS NEW JERSEY,ST,,USS NEW JERSEY STREET,794A7,UNOFFICIAL PRIVATE STREET NAMES
10846,UNIVERSAL HOLLYWOOD,DR,,UNIVERSAL HOLLYWOOD DRIVE,563B6,PRIVATE ROADWAY NAMES
9986,USS PRINCETON,CT,,USS PRINCETON COURT,794A7,UNOFFICIAL PRIVATE STREET NAMES
172,UTICA,PL,,UTICA PLACE,NA,PRIVATE STREET NAMES
2008,UNIT,ST,,UNIT STREET,704E6,PUBLIC STREET NAMES
2017,UHEA,ROAD,,UHEA ROAD,559H5,PUBLIC STREET NAMES
15,UNIVERSITY,AVE,,UNIVERSITY AVENUE,634B7,PEDESTRIAN MALL NAMES
2011,UNION,PL,,UNION PLACE,634D2,PUBLIC STREET NAMES
2015,UMBRIA,ST,,UMBRIA STREET,595B2,PUBLIC STREET NAMES
2005,UPLAND,AVE,,UPLAND AVENUE,824A3,PUBLIC STREET NAMES
2016,ULYSSES,ST,,ULYSSES STREET,595A5,PUBLIC STREET NAMES
1996,UTAH,ST,,UTAH STREET,634J4,PUBLIC STREET NAMES
10580,USC MC CARTHY,WAY,,USC MC CARTHY WAY,674B1,PRIVATE ROADWAY NAMES
10986,UNIVERSAL STUDIOS,BLVD,,UNIVERSAL STUDIOS BOULEVARD,563C7,PRIVATE STREET NAMES
11104,UNIVERSAL HOLLYWOOD,DR,,UNIVERSAL HOLLYWOOD DRIVE,563B6,PRIVATE STREET NAMES
