Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
140,VIA NOLA,,,VIA NOLA,533D3,PRIVATE STREET NAMES
120,VIA VERONA,,,VIA VERONA,533E2,PRIVATE STREET NAMES
1853,VIA CORDOVA,,,VIA CORDOVA,824A3,PUBLIC STREET NAMES
1779,VIRGINIA,AVE,,VIRGINIA AVENUE,594B5,PUBLIC STREET NAMES
1958,VALLEY OAK,DR,,VALLEY OAK DRIVE,593H3,PUBLIC STREET NAMES
124,VIA TORTONA,,,VIA TORTONA,533D3,PRIVATE STREET NAMES
128,VIA SORRENTO,,,VIA SORRENTO,533D3,PRIVATE STREET NAMES
1882,VERDEMOUR,AVE,,VERDEMOUR AVENUE,595D7,PUBLIC STREET NAMES
1766,VISTA DEL MAR,AVE,,VISTA DEL MAR AVENUE,593F4,PUBLIC STREET NAMES
1935,VAN HORNE,AVE,,VAN HORNE AVENUE,593G7,PUBLIC STREET NAMES
113,VILLAGE,ROAD,,VILLAGE ROAD,702B3,PRIVATE STREET NAMES
1970,VALLEYBRINK,ROAD,,VALLEYBRINK ROAD,594D1,PUBLIC STREET NAMES
1888,VERAGUA,DR,,VERAGUA DRIVE,702C2,PUBLIC STREET NAMES
1763,VISTA DEL MONTE,AVE,,VISTA DEL MONTE AVENUE,562A3,PUBLIC STREET NAMES
1850,VIA DOLCE,,,VIA DOLCE,671J7,PUBLIC STREET NAMES
10408,VIA SANTA MARTA,,,VIA SANTA MARTA,482F2,PRIVATE ROADWAY NAMES
1964,VALLEY GLOW,DR,,VALLEY GLOW DRIVE,503B4,PUBLIC STREET NAMES
1829,VICKSBURG,AVE,,VICKSBURG AVENUE,702G2,PUBLIC STREET NAMES
1936,VAN GOGH,ST,,VAN GOGH STREET,401C4,PUBLIC STREET NAMES
1743,VOYAGE,ST,,VOYAGE STREET,701J2,PUBLIC STREET NAMES
156,VIA CREMA,,,VIA CREMA,533D2,PRIVATE STREET NAMES
1822,VICTORIA PARK,DR,,VICTORIA PARK DRIVE,633E4,PUBLIC STREET NAMES
10153,VINCENTE,WAY,,VINCENTE WAY,501H7,PRIVATE ROADWAY NAMES
1838,VIA MIA,,,VIA MIA,595D5,PUBLIC STREET NAMES
10399,VIA LAS PALMAS,,,VIA LAS PALMAS,630H1,PRIVATE STREET NAMES
1744,VOYAGE,ST,,VOYAGE STREET,NA,PEDESTRIAN MALL NAMES
1894,VENTURA,PL,,VENTURA PLACE,562G5,PUBLIC STREET NAMES
1748,VOLETTA,PL,,VOLETTA PLACE,562E2,PUBLIC STREET NAMES
1941,VANDALIA,AVE,,VANDALIA AVENUE,635G1,PUBLIC STREET NAMES
1857,VIA ARBOLADA,,,VIA ARBOLADA,595D4,PUBLIC STREET NAMES
1939,VANESSA,CT,,VANESSA COURT,559H2,PUBLIC STREET NAMES
1860,VETERAN,AVE,,VETERAN AVENUE,631J1,PUBLIC STREET NAMES
1746,VOSE,ST,,VOSE STREET,532H5,PUBLIC STREET NAMES
10969,VIA ARTIS,,,VIA ARTIS,594F4,LIMITED ACCESS AREA NAMES
1911,VEDANTA,TER,,VEDANTA TERRACE,593F3,PUBLIC STREET NAMES
1988,VALDEZ,DR,,VALDEZ DRIVE,560F4,PUBLIC STREET NAMES
1826,VICTOR,ST,,VICTOR STREET,634F2,PUBLIC STREET NAMES
1773,VISTA,CT,,VISTA COURT,504D6,PUBLIC STREET NAMES
10324,VIA DONATELLO,,,VIA DONATELLO,480D6,PRIVATE STREET NAMES
1867,VERNON,CT,,VERNON COURT,671H4,PUBLIC STREET NAMES
1993,VADO,DR,,VADO DRIVE,592J2,PUBLIC STREET NAMES
1899,VENICE,BLVD,,VENICE BOULEVARD,634D6,PUBLIC STREET NAMES
1817,VIDETTE,ST,,VIDETTE STREET,595D1,PUBLIC STREET NAMES
1753,VISTA LINDA,DR,,VISTA LINDA DRIVE,561A6,PUBLIC STREET NAMES
9611,VIA CRESTA,,,VIA CRESTA,630J4,PRIVATE STREET NAMES
1896,VENTURA,BLVD,,VENTURA BOULEVARD,563A6,PUBLIC STREET NAMES
138,VIA PAVIA,,,VIA PAVIA,533D3,PRIVATE STREET NAMES
1806,VILLA GROVE,DR,,VILLA GROVE DRIVE,631C5,PUBLIC STREET NAMES
9780,VALLEYVIEW,CT,,VALLEYVIEW COURT,481F4,PUBLIC STREET NAMES
10763,VILLAGE,LANE,,VILLAGE LANE,672E7,PUBLIC STREET NAMES
1798,VINCENNES,ST,,VINCENNES STREET,501J6,PUBLIC STREET NAMES
1930,VAN NUYS,BLVD,WEST,VAN NUYS BOULEVARD WEST,532A3,PUBLIC STREET NAMES
1796,VINE,ST,,VINE STREET,593F3,PUBLIC STREET NAMES
1827,VICLAND,PL,,VICLAND PLACE,533A6,PUBLIC STREET NAMES
10436,VILLAGE WAY,DR,,VILLAGE WAY DRIVE,482A6,PRIVATE ROADWAY NAMES
1987,VALDEZ,PL,,VALDEZ PLACE,560F4,PUBLIC STREET NAMES
144,VIA MONIQUE,,,VIA MONIQUE,533D2,PRIVATE STREET NAMES
1865,VERONICA,ST,,VERONICA STREET,673B2,PUBLIC STREET NAMES
1777,VIRGINIA,ROAD,,VIRGINIA ROAD,633E6,PUBLIC STREET NAMES
14,VOYAGE,MALL,,VOYAGE MALL,702A4,PEDESTRIAN MALL NAMES
9932,VIA SAN MARINO,,,VIA SAN MARINO,482F2,PRIVATE ROADWAY NAMES
1831,VICENZA,WAY,,VICENZA WAY,591J5,PUBLIC STREET NAMES
121,VIA VENEZIA,,,VIA VENEZIA,533D3,PRIVATE STREET NAMES
1813,VIEWLAND,PL,,VIEWLAND PLACE,824C3,PUBLIC STREET NAMES
1856,VIA CANTARE,,,VIA CANTARE,591G2,PUBLIC STREET NAMES
169,VALLEY OAK,DR,,VALLEY OAK DRIVE,593G3,PRIVATE STREET NAMES
11001,VERANDA,WAY,,VERANDA WAY,702E1,PRIVATE ROADWAY NAMES
1747,VON KEITHIAN,AVE,,VON KEITHIAN AVENUE,595B6,PUBLIC STREET NAMES
122,VIA VALLARTA,,,VIA VALLARTA,561A5,PRIVATE STREET NAMES
9939,VIA SAN REMO,,,VIA SAN REMO,482F3,PRIVATE ROADWAY NAMES
1792,VINEDALE,ST,,VINEDALE STREET,533A1,PUBLIC STREET NAMES
10437,VILLAGE WAY,CT,,VILLAGE WAY COURT,481J6,PRIVATE ROADWAY NAMES
1762,VISTA DE ORO,AVE,,VISTA DE ORO AVENUE,560D4,PUBLIC STREET NAMES
1750,VIVIANA,DR,,VIVIANA DRIVE,560G4,PUBLIC STREET NAMES
1908,VELMA,DR,,VELMA DRIVE,563D6,PUBLIC STREET NAMES
10636,VIA MANTUA,,,VIA MANTUA,480D5,PRIVATE STREET NAMES
1967,VALLEYCREST,ROAD,,VALLEYCREST ROAD,592H1,PUBLIC STREET NAMES
1810,VIEWSITE,DR,,VIEWSITE DRIVE,592J4,PUBLIC STREET NAMES
