Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10174,YOSEMITE,CIR,,YOSEMITE CIRCLE,500E1,PRIVATE STREET NAMES
1346,YORK HILL,PL,,YORK HILL PLACE,564J7,PUBLIC STREET NAMES
1356,YEAGER,PL,,YEAGER PLACE,593D3,PUBLIC STREET NAMES
1354,YERBA,ST,,YERBA STREET,532D3,PUBLIC STREET NAMES
1340,YOUNG,ST,,YOUNG STREET,794G5,PUBLIC STREET NAMES
1357,YBARRA,ROAD,,YBARRA ROAD,560A4,PUBLIC STREET NAMES
54,YACHT,ST,,YACHT STREET,824F1,PRIVATE STREET NAMES
53,YORKSBORO,LANE,,YORKSBORO LANE,560C4,PRIVATE STREET NAMES
1358,YAWL,ST,,YAWL STREET,701J2,PUBLIC STREET NAMES
1343,YORKTOWN,PL,,YORKTOWN PLACE,702H1,PUBLIC STREET NAMES
10013,YOLIE,LANE,,YOLIE LANE,560G1,PRIVATE STREET NAMES
1361,YARMOUTH,AVE,,YARMOUTH AVENUE,501A1,PUBLIC STREET NAMES
1332,YUKON,TR,,YUKON TRAIL,529D1,PUBLIC STREET NAMES
1345,YORKSHIRE,DR,,YORKSHIRE DRIVE,594H3,PUBLIC STREET NAMES
1351,YOLANDA,AVE,,YOLANDA AVENUE,500G1,PUBLIC STREET NAMES
1333,YUCCA,TR,,YUCCA TRAIL,593A4,PUBLIC STREET NAMES
1352,YOAKUM,ST,,YOAKUM STREET,595E5,PUBLIC STREET NAMES
1347,YORK,PL,,YORK PLACE,594G1,PUBLIC STREET NAMES
1334,YUCCA,ST,,YUCCA STREET,593E4,PUBLIC STREET NAMES
1338,YOUNGDALE,PL,,YOUNGDALE PLACE,481H6,PUBLIC STREET NAMES
1355,YELLOWSTONE,ST,,YELLOWSTONE STREET,635D1,PUBLIC STREET NAMES
1363,YALE,AVE,,YALE AVENUE,672A6,PUBLIC STREET NAMES
10567,YEW,CT,,YEW COURT,480G5,PRIVATE STREET NAMES
1335,YUCATAN,AVE,,YUCATAN AVENUE,560B4,PUBLIC STREET NAMES
1348,YORK,BLVD,,YORK BOULEVARD,564G7,PUBLIC STREET NAMES
1350,YONKERS,LANE,,YONKERS LANE,NA,PUBLIC STREET NAMES
10137,YORK,DR,,YORK DRIVE,500G7,PRIVATE ROADWAY NAMES
1339,YOUNGDALE,AVE,,YOUNGDALE AVENUE,481H6,PUBLIC STREET NAMES
1349,YORBA,ST,,YORBA STREET,595D6,PUBLIC STREET NAMES
1362,YALE,ST,,YALE STREET,634G2,PUBLIC STREET NAMES
1336,YSIDRO,PL,,YSIDRO PLACE,630J6,PUBLIC STREET NAMES
1341,YOSEMITE,WAY,,YOSEMITE WAY,564H7,PUBLIC STREET NAMES
1331,YUMA,PL,,YUMA PLACE,593A3,PUBLIC STREET NAMES
1353,YOAKUM,DR,,YOAKUM DRIVE,592C3,PUBLIC STREET NAMES
1337,YOUNGWORTH,ST,,YOUNGWORTH STREET,672F4,PUBLIC STREET NAMES
1359,YATES,ST,,YATES STREET,503J4,PUBLIC STREET NAMES
1360,YARNELL,ST,,YARNELL STREET,481F1,PUBLIC STREET NAMES
1342,YOSEMITE,DR,,YOSEMITE DRIVE,565A6,PUBLIC STREET NAMES
1344,YORKTOWN,AVE,,YORKTOWN AVENUE,702H2,PUBLIC STREET NAMES
